Проб;Метки Образцов;Ag 328.068;Ag 338.289;Ca 315.887;Ca 317.933;Ca 393.366;Ca 396.847;Ca 422.673;Co 230.786;Co 231.160;Co 237.863;Co 238.892;Co 258.033;Cu 324.754;Cu 327.395;Fe 234.350;Fe 238.204;Fe 239.563;Fe 258.588;Fe 259.940;Ni 216.555;Ni 221.648;Ni 227.021;Ni 230.299;Ni 231.604;Sc 335.372;Sc 357.634;Sc 361.383
1;Бланк;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
2;Стандарт 1;0,025;0,025;0.0250 e;0.0250 e;0.0250 e;0.0250 e;0.0250 e;0.0250 e;0,025;0,025;0,025;0,025;0.0250 e;0.0250 e;0.0250 e;0.0250 e;0.0250 e;0.0250 e;0.0250 e;0.0250 e;0.0250 e;0,025;0.0250 e;0.0250 e;0,8648;0,8608;0,8649
3;Стандарт 2;0,05;0,05;0,05;0,05;0,05;0.0500 e;0.0500 e;0,05;0,05;0,05;0,05;0,05;0.0500 e;0.0500 e;0.0500 e;0.0500 e;0.0500 e;0.0500 e;0.0500 e;0,05;0,05;0,05;0,05;0,05;0,8877;0,8843;0,8849
4;Стандарт 3;0,1;0,1;0.1000 e;0,1;0,1;0.1000 e;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0.1000 e;0.1000 e;0.1000 e;0.1000 e;0.1000 e;0,1;0,1;0,1;0,1;0,1;0,9466;0,9539;0,9577
5;Стандарт 4;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,9136;0,9221;0,9284
6;Стандарт 5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,9406;0,9472;0,9501
7;Стандарт 6;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8957;0,9036;0,9026
8;Стандарт 7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,004;1,009;1,009
9;Стандарт 8;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;0,9121;0,9191;0,9183
10;Стандарт 9;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;0,9496;0,9546;0,9569
11;Стандарт 10;10;10;10;10;10;10.00 e;10;10;10;10;10;10.00 e;10;10.00 e;10;10;10;10;10;10;10;10;10;10;0,9793;0,9855;0,986
12;BLNK;0,0049;0,0046;0.0000 uv;0.0003 uv;0.0005 uv;0.0006 uv;0.0003 uv;0,0006;0.0000 uv;0.0001 uv;0.0002 uv;0.0007 uv;0.0010 uv;0.0009 uv;0.0017 uv;0.0009 uv;0.0010 uv;0.0012 uv;0.0012 uv;0.0003 uv;0.0007 uv;0,0032;0.0010 uv;0.0011 uv;0,9977;1,003;1,002
13;BLNK;0,0017;0.0004 uv;-0.0009 uv;-0.0006 uv;-0.0004 uv;-0.0003 uv;-0.0006 uv;0,0012;0,0004;0,0005;0,0007;0.0006 uv;-0.0001 uv;-0.0003 uv;-0.0009 uv;-0.0012 uv;-0.0008 uv;-0.0013 uv;-0.0009 uv;0.0004 uv;0.0005 uv;0.0020 uv;0.0007 uv;0,0011;1,046;1,055;1,053
14;8_0;-0.0023 uv;-0.0023 uv;4,257;4,363;4,084;4,006;4,702;-0.0012 uv;-0.0015 uv;-0.0015 uv;-0.0012 uv;-0.0013 uv;-0.0240 uv;-0.0254 uv;0,062;0,0628;0,0635;0,0634;0,0624;-0.0105 uv;-0.0096 uv;-0.0099 uv;-0.0062 uv;-0.0094 uv;0,964;0,9652;0,9605
15;8_1;0,0044;0,0029;25.71 x;24.03 x;22.63 x;7.697 o;23.80 x;0,6924;0,6725;0,626;0,1273;0,659;11.57 x;8,626;393.5 x;310.9 x;370.6 x;425.3 x;334.6 x;28.88 x;28.65 x;27.44 x;28.43 x;28.61 x;0,9718;0,9783;0,9747
16;8_2;0,0031;0,0029;86.29 x;80.09 x;28.75 ox;6.972 o;64.37 x;0,6031;0,5854;0,5463;0,095;0,5732;13.63 x;10,08;379.4 x;297.4 x;357.6 x;412.7 x;322.9 x;26.88 x;26.63 x;25.55 x;26.48 x;26.64 x;1,014;1,019;1,015
17;8_3;0.0001 uv;-0.0020 uv;77.49 x;72.11 x;28.29 ox;6.896 o;57.27 x;0,1766;0,171;0,1554;0,0093;0,165;1,289;1,264;155.7 x;138.7 x;151.6 x;162.5 x;143.4 x;3,375;3,333;3,387;3,316;3,319;1,026;1,032;1,026
18;8_4;0,0027;0,0048;59.49 x;55.61 x;31.07 ox;7.733 o;49.28 x;0,6069;0,5892;0,5328;0,0324;0,5776;11,17;8,357;457.9 x;347.5 x;406.2 x;501.8 x;378.1 x;28.45 x;28.15 x;26.99 x;27.93 x;28.11 x;0,9427;0,9459;0,942
19;8_5;-0.0013 uv;0,0097;804.1 x;681.0 x;32.08 ox;6.789 o;118.2 ox;0,1281;0,1224;0,1137;0,0238;0,1183;0,725;0,739;90.28 x;90.16 x;90.40 x;92.47 x;91.76 x;5,025;4,97;4,998;4,942;4,968;0,8589;0,8687;0,865
20;8_6;0,011;0,0098;147.0 x;134.6 x;29.97 ox;6.975 o;91.01 ox;0,032;0,0294;0,0293;0,0137;0,028;16.98 x;12.41 x;30.32 x;31.48 x;31.48 x;30.98 x;31.65 x;0,6854;0,6819;0,7031;0,6777;0,6838;0,9802;0,9847;0,9793
21;8_7;-0.0011 uv;0,0027;328.7 x;294.2 x;31.24 ox;7.160 o;114.0 ox;0,2256;0,2171;0,2077;0,1758;0,2124;1,05;1,038;36.86 x;37.92 x;38.17 x;37.54 x;38.32 x;8,9;8,815;8,711;8,768;8,775;0,9274;0,934;0,9261
22;8_8;-0.0009 uv;0.0002 uv;271.5 x;244.2 x;26.57 ox;6.105 o;98.94 ox;0,1937;0,1866;0,172;0,0376;0,18;3,512;3,089;134.8 x;121.7 x;131.6 x;139.8 x;125.3 x;6,493;6,417;6,417;6,384;6,422;1,073;1,075;1,071
23;8_9;-0.0010 uv;-0.0013 uv;294.5 x;265.8 x;33.70 ox;7.671 o;120.8 ox;0,1098;0,1054;0,0894;-0.0520 uv;0,1027;1,101;1,089;186.5 x;165.7 x;181.4 x;193.9 x;171.5 x;3,542;3,49;3,543;3,469;3,492;0,868;0,8736;0,8681
24;8_10;-0.0013 uv;-0.0022 uv;47.35 x;44.45 x;26.31 ox;6.666 o;38.47 x;0,1087;0,1043;0,095;0.0015 uv;0,1018;2,408;2,222;104.6 x;96.34 x;103.4 x;108.1 x;98.49 x;3,544;3,508;3,551;3,486;3,502;1,096;1,097;1,091
25;8_11;0,0018;-0.0021 uv;171.4 x;150.9 x;33.03 ox;7.651 o;103.4 ox;0,2827;0,276;0,2481;-0.0086 uv;0,2699;2,334;2,17;265.0 x;234.7 x;263.9 x;279.3 x;246.2 x;6,455;6,372;6,37;6,338;6,379;0,901;0,9035;0,8973
26;8_12;0,0036;0,0044;20.01 x;18.90 x;18.78 x;7.732 o;19.16 x;0,7416;0,7285;0,655;-0.0283 uv;0,7176;6,149;4,891;628.2 x;419.5 x;509.5 x;712.5 x;470.1 x;28.04 x;27.69 x;26.56 x;27.45 x;27.61 x;0,9722;0,9742;0,9707
27;8_13;0,0041;-0.0013 uv;24.57 x;23.01 x;21.55 x;7.453 o;23.09 x;0,7924;0,7701;0,7082;0,16;0,7523;12.86 x;9,567;462.5 x;343.4 x;398.0 x;511.5 x;376.9 x;34.50 x;34.00 x;32.62 x;33.77 x;33.96 x;1,01;1,013;1,008
28;8_14;0,0003;0,0019;48.47 x;45.50 x;30.46 ox;7.635 o;41.57 x;0,3053;0,3039;0,2542;-0.2486 uv;0,3047;3,16;2,846;584.7 x;405.3 x;484.3 x;656.9 x;448.6 x;11.67 x;11.52 x;11,25;11,4;11.49 x;0,9553;0,9555;0,9561
29;BLNK;-0.0009 uv;-0.0010 uv;0,1034;0,1122;0,1097;0,107;0,1135;-0.0005 uv;-0.0007 uv;-0.0009 uv;-0.0009 uv;-0.0005 uv;0,0139;0,0151;0,4332;0,4498;0,4426;0,4447;0,4427;0,0113;0,0114;0,012;0,0111;0,0117;1,034;1,032;1,025
30;AV_1_1-s;-0.0002 uv;0,0281;57.73 x;53.98 x;30.58 ox;7.625 o;47.07 x;3,736;3,621;3,502;3,266;3,503;34.44 x;24.81 x;145.8 x;131.3 x;142.0 x;149.7 x;134.0 x;146.6 x;138.9 x;138.7 x;145.0 x;142.6 x;0,9558;0,958;0,953
31;NV_AV1-S;-0.0016 uv;0,0022;12.48 x;12.25 x;12.03 x;6.999 o;11.98 x;0,0725;0,0818;0,0737;-0.3625 uv;0,0887;-0.0070 uv;0,0198;561.7 x;382.3 x;461.1 x;635.8 x;426.3 x;2,352;2,26;2,311;2,24;2,256;1,059;1,057;1,054
32;NV1_3_0_1-S;-0.0020 uv;0.0019 uv;42.81 x;40.20 x;28.57 ox;7.250 o;36.42 x;0,0201;0,022;0,0234;-0.2038 uv;0,0241;-0.0117 uv;0.0010 uv;311.2 x;262.1 x;302.7 x;333.3 x;276.8 x;1,669;1,623;1,661;1,639;1,618;1,013;1,016;1,011
33;NV_MSP-S;-0.0009 uv;0,0058;24.72 x;23.19 x;21.94 x;7.609 o;22.35 x;0,0765;0,0937;0,0862;-0.5036 uv;0,108;0,2167;0,267;740.2 x;456.4 x;574.8 x;863.7 x;516.9 ox;3,09;2,961;3,014;2,932;2,945;0,9901;0,9901;0,9873
34;BLNK;-0.0023 uv;-0.0026 uv;0,0854;0,0925;0,0902;0,0878;0,0949;-0.0007 uv;-0.0012 uv;-0.0012 uv;-0.0012 uv;-0.0013 uv;0,0125;0,0136;0,7093;0,7444;0,7421;0,7298;0,7257;0,0115;0,0116;0,0117;0,0117;0,0119;0,9486;0,945;0,9432
35;АОВ_1.2_1-S;-0.0024 uv;-0.0001 uv;32.01 x;30.27 x;25.63 ox;7.127 o;27.17 x;0,0045;0,0032;0,0028;-0.0753 uv;0,004;0,0067;0,0131;121.4 x;111.5 x;119.7 x;124.9 x;113.3 x;0,0979;0,0872;0,0902;0,085;0,0871;1,046;1,049;1,042
36;AV_12-1-1-S;-0.0016 uv;0,004;38.68 x;36.44 x;27.86 ox;7.141 o;32.46 x;0,089;0,097;0,0871;-0.3435 uv;0,1031;0,0351;0,0647;555.9 x;384.5 x;460.5 x;624.4 x;425.1 x;2,311;2,221;2,274;2,205;2,216;1,034;1,037;1,034
37;AV-1-1-1-S;-0.0019 uv;0,0026;45.24 x;42.50 x;29.07 ox;7.343 o;37.78 x;0,0179;0,0221;0,0247;-0.3047 uv;0,0273;-0.0109 uv;0,0082;436.6 x;334.5 x;387.9 x;476.5 x;361.2 x;0,5536;0,5019;0,514;0,4884;0,496;1,006;1,001;0,9956
38;AV-1-42-1-S;-0.0023 uv;0,0011;41.12 x;38.62 x;27.65 ox;7.058 o;34.10 x;0,0623;0,0598;0,0543;-0.0715 uv;0,0581;0,007;0,0151;170.8 x;151.2 x;165.2 x;176.0 x;155.9 x;8,825;8,77;8,615;8,625;8,647;1,036;1,052;1,043
39;AV13-2-1-S;-0.0018 uv;0,004;39.95 x;37.63 x;28.70 ox;7.326 o;33.38 x;0,1328;0,1363;0,1259;-0.2935 uv;0,14;0,0454;0,0728;511.3 x;369.5 x;433.6 x;568.5 x;407.2 x;1,582;1,503;1,544;1,489;1,502;1,017;1,016;1,014
40;BLNK;-0.0020 uv;-0.0019 uv;0,0899;0,0984;0,0959;0,0937;0,1005;-0.0009 uv;-0.0012 uv;-0.0011 uv;-0.0010 uv;-0.0008 uv;0,0107;0,0114;0,7609;0,793;0,8015;0,7794;0,7793;0,0098;0,0097;0,0101;0,0097;0,0103;0,9922;0,9878;0,9828
41;NV1-2-0-1-S;-0.0016 uv;0,0028;44.43 x;41.81 x;29.78 ox;7.553 o;37.80 x;0,0113;0,0187;0,0217;-0.3552 uv;0,028;0.0056 uv;0,029;491.2 x;365.6 x;423.6 x;542.8 x;396.5 x;0,3159;0,2582;0,2662;0,2512;0,2556;0,9914;0,9964;0,9883
42;AV_1_131_1-S;-0.0023 uv;-0.0007 uv;38.77 x;36.47 x;29.43 ox;7.614 o;32.93 x;0,0163;0,0142;0,013;-0.1155 uv;0,0151;-0.0001 uv;0,0088;197.8 x;176.7 x;194.9 x;200.0 x;182.9 x;2,525;2,477;2,531;2,476;2,469;0,9709;0,9744;0,969
43;AOB_1.3_1-S;0,0015;0,0018;32.21 x;30.38 x;26.92 ox;7.717 o;27.64 x;0,017;0,0168;0,0149;-0.0751 uv;0,0166;0,157;0,1715;133.9 x;122.5 x;131.8 x;138.6 x;125.2 x;0,6753;0,6538;0,6782;0,6488;0,658;0,967;0,971;0,9657
44;M1(Ш1);0,0079;0,0338;42.65 x;40.36 x;32.34 ox;8.365 o;40.01 x;0,4207;0,4477;0,402;-1.417 uv;0,5967;78.81 x;53.58 x;1296 ox;544.5 ox;799.7 x;1606 ox;668.8 ox;80.93 x;78.02 x;75.96 x;79.09 x;78.69 x;0,8733;0,872;0,8822
45;T13_110 (27.11.25) 1;0,0096;0,0511;21.56 x;20.59 x;21.67 x;9.225 o;21.35 x;0,7569;0,781;0,7375;-1.630 uv;1,036;8,978;6,945;1430 ox;569.4 ox;846.6 x;1747 ox;702.9 ox;25.44 x;24.60 x;23.60 x;24.23 x;24.45 x;0,816;0,8147;0,8213
46;T13_110 (27.11.25) 2;0,0074;0,047;20.72 x;19.83 x;20.84 x;8.977 o;20.62 x;0,7019;0,7199;0,6882;-1.574 uv;0,9649;8,409;6,548;1457 ox;550.6 ox;823.1 x;1754 ox;693.0 ox;23.61 x;22.81 x;21.87 x;22.36 x;22.56 x;0,8361;0,8319;0,839
47;T13_110 (27.11.25) 3;0,0082;0,0503;23.04 x;21.93 x;22.84 x;9.176 o;22.84 x;0,7579;0,779;0,7346;-1.678 uv;1,051;8,92;6,884;1490 ox;564.1 ox;839.2 x;1762 ox;697.5 ox;25.31 x;24.46 x;23.40 x;24.05 x;24.24 x;0,8164;0,8104;0,8221
48;T13_215_0_1-S;0,0034;0,0182;52.69 x;49.32 x;29.28 ox;7.315 o;44.31 x;0,0954;0,1303;0,1253;-0.8371 uv;0,1759;-0.0274 uv;0,0068;1001 x;492.3 ox;680.0 x;1265 ox;580.7 ox;1,209;1,001;1,025;0,9744;0,983;0,9919;0,9912;0,9925
49;T13_220_0_1-S;0,0046;0,0205;55.91 x;52.26 x;28.26 ox;7.077 o;46.50 x;0,0433;0,0869;0,1039;-0.8978 uv;0,1417;1,436;1,471;1011 x;477.5 ox;668.4 x;1254 ox;569.5 ox;0,8175;0,594;0,6107;0,5656;0,5795;1,028;1,027;1,026
50;T13_315_0_1-S;-0.0006 uv;0,0073;39.44 x;37.05 x;27.91 ox;7.097 o;33.76 x;0,0103;0,0298;0,0311;-0.5134 uv;0,0506;-0.0236 uv;0.0028 uv;702.8 x;429.1 x;543.8 x;827.1 x;490.7 ox;0,223;0,1244;0,1279;0,1168;0,1179;1,037;1,035;1,033
51;T13_310_0_1-S;-0.0012 uv;0,0046;37.23 x;35.06 x;26.91 ox;6.924 o;31.66 x;0,0141;0,0287;0,0257;-0.4041 uv;0,0391;-0.0205 uv;0,0035;582.0 x;386.9 x;472.1 x;666.1 x;436.3 x;0,3033;0,2286;0,2349;0,2188;0,2234;1,064;1,06;1,057
52;T13_310_3_0_1-S;-0.0007 uv;0,0062;38.13 x;35.87 x;27.33 ox;6.995 o;32.55 x;0,0136;0,0265;0,0293;-0.4637 uv;0,0449;-0.0019 uv;0,0322;651.8 x;411.6 x;513.7 x;759.1 x;470.9 x;0,2285;0,1405;0,1434;0,1334;0,1343;1,051;1,047;1,047
53;BLNK;-0.0007 uv;-0.0005 uv;0,1411;0,1527;0,1504;0,146;0,1544;0.0000 uv;-0.0004 uv;-0.0006 uv;-0.0010 uv;-0.0013 uv;0,0343;0,0377;8,963;9,2;9,167;9,076;9,03;0,0514;0,0509;0,0522;0,0499;0,0509;1,018;1,012;1,008
54;T15_110_1_1-S;0,0017;0,0247;42.52 x;40.09 x;29.86 ox;7.558 o;37.48 x;0,0155;0,0694;0,1119;-1.119 uv;0,1508;-0.0308 uv;-0.0005 uv;1184 ox;506.4 ox;726.1 x;1394 ox;610.7 ox;0,5493;0,2587;0,2685;0,2323;0,2416;0,9679;0,9662;0,968
55;T15_210_1_1-S;-0.0013 uv;0,0059;38.70 x;36.38 x;28.41 ox;7.263 o;32.72 x;0,0131;0,0299;0,0329;-0.4606 uv;0,0464;-0.0195 uv;0,0091;675.9 x;426.9 x;531.6 x;781.2 x;483.0 x;0,1039;0,0144;0,0156;0,0083;0,0096;1,013;1,013;1,012
56;T15_310_1_1-S;-0.0009 uv;0,0042;38.79 x;36.51 x;28.19 ox;7.213 o;32.75 x;0,016;0,0242;0,026;-0.3676 uv;0,035;-0.0145 uv;0,0102;546.6 x;381.6 x;455.3 x;613.3 x;422.7 x;0,1517;0,0854;0,0875;0,0782;0,0812;1,026;1,028;1,024
57;T15_110-S;0,018;0,0441;22.37 x;21.30 x;21.38 x;8.187 o;23.11 x;0,3186;0,3452;0,4135;-1.730 uv;0,6511;2,703;2,672;1232 ox;499.2 ox;752.1 x;1578 ox;631.3 ox;12.58 x;11.82 x;11,55;11.58 x;11.70 x;0,9035;0,9018;0,9151
58;T15_210-S;0,0045;0,0261;67.91 x;63.47 x;31.41 ox;7.741 o;57.72 x;0,2151;0,2611;0,3052;-1.353 uv;0,4031;2,281;2,252;1251 ox;515.9 ox;753.0 x;1505 ox;628.1 ox;7,342;6,867;6,841;6,75;6,75;0,9313;0,9267;0,9341
59;T15_310-S;-0.0002 uv;0,0049;57.95 x;54.12 x;29.03 ox;7.244 o;46.26 x;0,098;0,1167;0,0977;-0.5625 uv;0,1362;1,772;1,731;780.2 x;452.1 x;584.0 x;927.1 x;527.8 ox;2,146;2,007;2,049;1,994;1,988;1,001;0,9988;0,9989
60;T15_105_2_1-S;0.0005 uv;0,0174;49.03 x;45.86 x;28.80 ox;7.221 o;41.66 x;0,0372;0,0777;0,0984;-0.8217 uv;0,1235;-0.0275 uv;0,0045;990.0 x;484.1 ox;672.0 x;1232 ox;571.8 ox;0,3073;0,1101;0,1141;0,0951;0,0987;1,007;1,006;1,005
61;T15_115_1_1-S;0,0016;0,0248;60.73 x;56.75 x;31.04 ox;7.710 o;50.97 x;0,028;0,0802;0,1186;-1.039 uv;0,1532;0,0479;0,1787;1151 ox;513.3 ox;735.7 x;1413 ox;626.0 ox;0,4219;0,1493;0,1552;0,1298;0,1341;0,9432;0,942;0,9437
