Sample;Al;K;Ca;Mn;Fe;Co;Ni;Cu;Zn;Mo;Ru;Rh;Pd;Ag;Cd;Os;Ir;Pt;Au;Hg;Pb
ед. изм.;мкг/л;мкг/л;мкг/л;мкг/л;мг/л;мкг/л;мкг/л;мкг/л;мкг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л
T2-F13D2;14810;2600;58894;313;278;45;1118;828;74;1530;420;1632;2380;1620;495;92;82;852;105;500;65186
T2-L13B2;11840;1368;209027;130;224;148;6765;2468;108;3829;840;1136;1450;1970;2730;123;87;375;106;660;20057
T2-F13D1;13685;1657;266373;143;244;89;4619;2228;114;3298;770;1050;1550;1840;2426;131;90;396;79;590;20557
T2-P13B1;8486;986;228882;168;260;22;887;436;102;1331;260;325;470;730;678;92;45;94;49;640;14271
T2-N13B2;6302;822;305300;165;259;16;284;158;105;988;150;210;380;530;701;59;30;60;51;640;10957
T2-L13B1;14578;2744;86105;327;247;43;1078;719;99;1598;410;1568;3030;1710;813;85;75;514;203;1650;63557
T2-P13B2;9624;925;215355;154;277;22;828;373;64;1490;300;298;510;640;629;62;50;77;47;820;12571
T2-N13B1;5762;686;303136;179;240;16;325;153;85;885;140;190;340;450;586;48;27;70;27;420;10486
T2-F13B1;8669;1164;246127;146;228;14;342;191;80;1098;200;277;420;630;555;47;39;83;24;640;14871
T2-F13B2;8521;1109;253045;152;246;14;291;196;92;8454;210;297;490;730;1885;49;44;82;29;780;15300
T2-13B1;24608;2717;57358;566;741;69;1712;1448;102;2922;760;1046;1880;2140;723;129;122;411;62;450;36000
T2-13B2;26016;2835;73901;754;559;101;2357;1754;146;2559;520;798;1350;1740;941;123;89;399;62;1610;27014
T2-N13E21;6681;1412;315691;174;267;17;295;169;99;1067;160;219;410;760;760;62;31;60;71;990;11471
T2-N13E22;6788;1367;321945;195;280;17;305;172;69;1183;170;229;420;650;841;48;33;63;67;990;11529
T2-N13E12;7272;1188;357073;236;286;21;386;182;82;1409;170;228;480;670;831;49;34;68;90;1210;13014
T2-N13E11;6075;3190;322182;190;248;18;342;169;90;1079;150;209;400;1300;1115;50;29;54;72;1460;12057
T2-F10D1;9045;1148;71109;129;132;351;14257;13343;95;7125;2250;4572;7970;5070;8950;294;174;1908;266;2340;13857
T2-F10D2;10247;1484;139282;120;185;351;11188;10044;150;5672;1710;3464;5260;4630;7523;381;142;1246;283;6100;20029
T2-L10B2;12037;2124;72235;262;190;39;977;719;66;1564;320;1338;2340;1420;585;184;61;476;102;1020;50357
T2-P10B1;7398;1043;251291;190;251;25;868;406;79;1178;210;286;470;660;649;79;39;107;89;790;13486
T2-P10B2;7746;1016;264591;189;246;25;890;408;64;1307;220;296;520;620;709;56;38;100;66;910;13029
T2-10B1;22346;2585;89275;465;741;56;1488;1271;126;18300;750;1016;1930;2050;4764;115;125;329;66;2640;40157
T2-10B2;22987;2607;67526;450;798;53;1462;1274;105;3062;810;1086;1920;2070;739;123;137;339;73;1210;42371
T2-L10B1;9619;1687;62236;232;183;33;826;574;86;1167;300;1197;2300;1360;668;81;53;409;70;1800;46500
T2-F10B1;7258;1053;303727;157;205;14;445;146;57;1008;170;190;600;810;1161;46;33;64;29;5220;22386
T2-F10B2;7579;1223;317136;149;209;13;450;149;67;1019;180;190;410;760;614;36;34;56;23;1350;14114
T2-F10ZB4;10158;1670;277627;115;233;13;322;270;65;1374;290;462;730;1060;643;57;58;134;61;1970;19700
T2-F10ZB3;14588;2056;260618;131;299;18;336;430;53;1843;420;734;1330;1250;635;81;83;222;50;1110;21943
T2-N10B1;5569;634;307773;189;217;19;497;129;63;900;130;162;320;420;684;44;26;40;24;1600;9429
T2-N10B2;5658;764;375200;202;241;19;523;151;82;983;140;181;330;450;735;36;30;45;47;990;10186
T2-N10E22;5645;846;339664;204;220;19;545;218;59;946;140;187;320;520;706;24;28;51;33;1960;10214
T2-F11D1;12469;1691;339445;124;241;49;1824;2732;33;2850;970;1601;2240;1700;1844;114;115;523;74;940;21171
T2-F11D2;8505;1254;230264;105;183;38;1447;1248;60;1567;400;617;990;1060;1289;88;54;198;44;900;14686
T2-N10E12;5758;661;337718;210;238;21;543;156;47;931;140;170;300;520;613;44;27;47;23;620;10229
T2-N11B1;5139;904;294309;164;207;19;493;122;67;1136;110;132;470;670;666;24;26;42;18;690;9771
T2-N10E11;5551;493;339945;209;240;21;530;148;49;911;140;171;300;530;635;29;28;44;19;1180;10514
T2-P11B1;7328;914;231391;169;241;21;651;388;44;1249;240;326;560;630;619;46;41;90;26;910;13343
T2-L11B2;12944;2478;71495;309;234;43;1048;716;110;1393;380;1515;2530;2450;518;74;72;527;70;590;61986
T2-F11B2;7980;1128;264200;163;229;17;463;74;32;1119;200;245;470;580;478;54;40;66;35;450;14714
T2-N10E21;6081;732;356555;197;239;19;508;50;85;8718;150;177;410;430;2003;24;27;45;11;1030;9714
T2-F11B1;7230;1146;266545;137;201;15;400;49;34;1113;190;207;400;590;476;32;39;100;18;640;14314
T2-11B2;24055;2861;26608;395;880;51;1499;900;99;3226;910;1144;2030;2000;583;93;149;328;39;520;45457
T2-P11B2;8790;1150;250600;201;278;27;891;290;54;1333;250;332;590;670;644;70;45;101;26;450;14714
T2-N11B2;5963;758;306973;198;248;22;537;60;49;976;150;186;310;480;566;43;28;48;15;1130;10586
T2-11B1;26179;3085;32644;404;937;55;1571;988;102;3386;950;1208;2010;2280;586;101;160;327;39;820;46843
T2-L11B1;11642;1898;64021;276;239;42;1051;508;70;1390;360;1328;2190;1570;460;100;67;459;62;570;48300
T2-N11E22;7258;1601;336964;226;271;24;573;59;91;1068;170;216;370;1090;623;49;30;53;19;1540;11757
T2-N11E11;6102;813;334273;193;231;22;566;40;79;1035;130;157;310;510;750;33;52;40;21;1330;9857
T2-N12B1;6282;881;318100;193;252;23;488;71;92;991;160;206;360;490;545;40;29;64;18;650;11157
T2-L12B1;10775;2255;77461;263;182;39;920;512;88;1292;340;1418;2400;1380;470;73;58;485;60;710;58886
