name;Ca;dCa;Co;dCo;Cu;dCu;Fe;dFe;Ni;dNi;Описание;is_solid;;
AOB 1.1;13.94;0.11;0.01;0.00;1.17;0.01;306.92;2.51;2.04;0.01;АОВ сначальной плотностью 1.1;True;;
AOB 1.2;13.83;0.11;0.03;0.00;1.27;0.01;347.64;3.02;1.26;0.00;Аов с начальной плотностью 1.2;True;;
AOB 1.3;19.46;0.20;0.00;0.00;1.37;0.01;331.78;2.80;2.55;0.01;АОВ с начальной плотностью 1.3;True;;
AV 11;7.11;0.80;0.25;0.14;5.22;0.11;241.60;48.17;11.96;0.11;Камерный продукт после флотации образца АОВ1.1 (пульпа ССФ);True;;
AV 11 110;5.95;0.88;0.37;0.05;1.81;0.04;65.27;6.25;15.00;0.15;Твердый остаток сернокислого атмосферного выщелачивания 1г к 1 мл кислоты в течении часа при кипении. образца AV11;True;;
AV11-110-1;10.63;0.44;0.01;0.01;7.83;0.65;271.73;37.90;3.00;0.03;Твердый осадок после сульфидизации нейтрализованного и профильтрованного раствора выщелачивания образца AV 11;True;;
AV11-110-C;200.14;19.20;-0.01;0.00;1.02;0.06;142.34;21.31;0.42;0.01;камерный продукт флотации образца AV11_110_1нейтрализованный до pH 8;True;;
AV11-110-F;6.70;0.29;0.05;0.02;10.25;1.48;260.54;54.84;2.83;0.01;концентрат флотации образца AV11_110_1;True;;
AV11-110-N;152.98;13.31;0.09;0.00;0.27;0.02;19.06;1.31;4.01;0.10;Осадок после нейтрализации раствора выщелачивания AV11_110 до pH 2;True;;
AV111F;4.62;0.20;0.71;0.09;13.30;0.28;112.55;11.27;33.58;0.35;концентрат флотации образца AV_1_1;True;;
AV111I;5.40;0.35;0.45;0.16;4.17;0.03;228.73;50.14;17.31;0.19;промежуточный продукт флотации образца AV_1_1;True;;
AV11C;12.88;4.32;0.19;0.07;1.99;0.05;230.35;49.15;7.98;0.09;Камерный продукт флотации образца AV_1_1;True;;
AV12_1_1_C;65.31;49.48;0.16;0.06;3.31;0.07;95.21;8.24;5.75;0.08;Камерный продукт флотации образца AV12;True;;
