Метки Образцов;Масса навески (g);sample_mass;Разбавление;Valiq, ml;Al 308.215;Al 394.401;Al 396.152;Ca 315.887;Ca 317.933;Cd 214.439;Cd 228.802;Cu 217.895;Cu 224.262;Cu 324.754;Cu 327.395;Co 230.786;Co 231.160;Co 258.033;Fe 234.350;Fe 258.588;Mg 279.800;Mg 285.213;Mn 257.610;Mn 260.568;Mn 293.931;Mn 294.921;Ni 216.555;Ni 221.648;Ni 227.021;Ni 230.299;Ni 231.604;Pb 220.353;Pb 283.305;S 182.562;Si 250.690;Si 251.611;Si 252.411;Si 288.158;Zn 202.548;Zn 206.200
T2-15A1;;;20;2;3.253;3.305;3.329;1.758;1.777;0.0055;-0.0005 uv;0.0175;0.1714;-0.0057 uv;0.0006;0.2428;0.2358;0.2365;676.5;710.4;12.46;12.5;7.77;7.618;7.712;7.54;49.34;49.49;48.93;48.5;49.22;0.0367;1.244;599.6;0.1863;0.1411;0.2128;0.1466;0.4969;0.5036
T2-15A2;;;20;2;3.3;3.363;3.374;1.797;1.818;0.0056;-0.0003 uv;0.0198;0.1721;-0.0058 uv;0.0003 uv;0.2463;0.2397;0.2401;684.8;728;12.66;12.71;7.942;7.781;7.834;7.655;50.08;50.56;49.57;49.16;50.01;0.0392;1.25;610.6;0.1934;0.1411;0.2165;0.1479;0.5041;0.512
T2-P15A1;;;20;2;0.1055;0.3311;0.1438;57.63;57.67;0.0266;0.0008 uv;0.0888;0.7151;-0.0066 uv;0.0014;0.1124;0.1779;0.2575;3122 x;2514 ox;48.42;50.53;3.012;3.095;3.059;4.734;3.684;3.439;3.332;3.25;3.384;0.1243;6.137;1819 x;3.395;3.333;4.334;3.313;0.2415;0.2116
T2-P15A2;;;20;2;0.0881;0.3325;0.1286;57.18;57.13;0.0278;0.0003 uv;0.0988;0.7852;-0.0067 uv;0.0011;0.1145;0.1876;0.2749;3243 x;2596 ox;48.15;50.67;3.07;3.15;3.117;4.943;7.985;7.833;7.602;7.458;7.754;0.1354;6.564;1954 x;3.407;3.321;4.391;3.303;0.3481;0.3222
T2-L15A1;;;20;2;2.379;2.435;2.449;1.504;1.519;0.0039;-0.0008 uv;0.0182;0.1273;-0.0046 uv;0.0025;0.1819;0.1763;0.1737;477;506.8;8.736;8.963;5.489;5.599;5.537;5.506;35.15;35.66;34.65;34.11;35.01;0.0283;0.8625;10400 x;0.2637;0.231;0.2563;0.2346;0.3614;0.3675
T2-L15A2;;;20;2;2.378;2.437;2.447;1.43;1.446;0.0037;-0.0007 uv;0.0185;0.1261;-0.0049 uv;0.0014;0.183;0.1745;0.1742;472.8;501;8.69;8.908;5.462;5.6;5.531;5.499;34.91;35.49;34.42;34.3;35.21;0.0282;0.8462;10370 x;0.2222;0.1898;0.2161;0.1942;0.3597;0.3674
T2-16A1;;;10;5;30.74 x;31.40 x;30.41 x;49.79;49.48;0.0122;0.0004 uv;1.732;1.925;1.67;1.689;1.798;1.796;1.807;1562 x;1313 x;136.4 x;115.9 x;6.034;6.084;6.024;6.424;48.97;49.97;48.46;48.27;49.4;0.0547;2.262;1020;9.938;10.08;10.47;10.14;0.9414;0.958
T2-16A2;;;10;5;29.54 x;30.15 x;29.20 x;47.54;47.41;0.011;0.0014;1.662;1.847;1.604;1.621;1.723;1.723;1.736;1462 x;1243 x;131.0 x;111.8 x;5.728;5.822;5.771;6.154;46.83;47.75;46.38;46.16;47.23;0.0523;2.14;987.5;9.711;9.858;10.26;9.896;0.9034;0.9191
T2-L16A1;;;10;5;209.8 x;216.4 x;194.0 x;50.64;50.89;0.0797;0.0016 uv;5.208;6.489;4.719;5.061;1.312;1.363;1.837;3938 ox;3246 ox;176.4 x;161.2 x;7.809;7.843;7.781;13.1;37.14;37.07;35.94;35.63;36.8;0.454;18.50 x;10310 x;10.35;9.778;13.53 x;9.698;0.9836;0.8599
T2-L16A2;;;10;5;198.5 x;204.6 x;183.5 x;48.78;48.43;0.0755;0.0037;4.855;6.135;4.357;4.679;1.287;1.337;1.794;3925 ox;3204 ox;169.7 x;155.7 x;7.264;7.419;7.242;12.4;36.36;36.23;35.12;34.82;36.07;0.4288;18.05 x;9962 x;11.95;11.72;15.25 x;11.64;0.9286;0.8099
