Метки Образцов;Масса навески (g);sample_mass;Разбавление;Valiq, ml;Al 308.215;Al 394.401;Al 396.152;Ca 315.887;Ca 317.933;Cd 214.439;Cd 228.802;Co 230.786;Co 231.160;Co 258.033;Cu 217.895;Cu 324.754;Cu 327.395;Fe 234.350;Fe 258.588;Mg 279.800;Mg 285.213;Mn 257.610;Mn 260.568;Mn 293.931;Ni 216.555;Ni 221.648;Ni 227.021;Ni 230.299;Ni 231.604;Pb 220.353;S 182.562;Sc 335.372;Sc 357.634;Sc 361.383;Si 250.690;Si 251.611;Si 252.411;Si 288.158;Zn 202.548;Zn 206.200
T1-N18B1;99.6;;;5;0.9578;1.007;1.016;325;316;0.0033;0.003;0.0236;0.0324;0.031;0.0196;0;0.0056;338.6;332.5;14.44;15.06;0.3675;0.3775;0.371;0.2222;0.1919;0.185;0.1877;0.1908;0.0276;222.8;0.9766;0.976;0.9914;5.781;5.954;5.94;5.898;0.0702;0.0685
T1-18B2;108.5;;;5;18.96;18.79;18.52;74.28;73.39;0.0059;0;0.0573;0.0739;0.0825;0.5126;0.4666;0.4759;864.9;806.8;12.99;13.25;0.4934;0.5117;0.5022;1.435;1.394;1.34;1.324;1.376;0.0708;137;1.022;1.021;1.038;9.44;9.657;9.758;9.659;0.0877;0.0753
T1-L18B2;110;;;5;8.428;8.432;8.499;78.15;77;0.0013;0.003;0.045;0.0428;0.0414;0.3116;0.2971;0.2957;164.9;159.1;7.209;7.288;0.2669;0.2731;0.2684;0.915;0.9285;0.8893;0.8758;0.9106;0.0565;413;1.051;1.05;1.061;2.022;2.09;2.066;2.046;0.0315;0.0284
T1-P18B2;99.8;;;5;4.845;4.878;4.976;311.1;300.3;0.0019;0.0026;0.0339;0.0351;0.0344;0.1472;0.1374;0.1412;213.7;205.5;4.954;5.111;0.1554;0.1599;0.157;0.9899;1.006;0.9652;0.9581;0.9895;0.0311;347.3;1.009;1.01;1.022;7.299;7.468;7.436;7.428;0.0392;0.0366
T1-18B1;99.5;;;5;17.19;17.06;16.82;61.11;60.06;0.0055;0.0003;0.0527;0.0704;0.0743;0.4672;0.4218;0.4325;810.8;758.5;11.69;11.76;0.4247;0.4403;0.4313;1.299;1.256;1.208;1.187;1.242;0.0662;121.2;1.028;1.03;1.044;4.106;4.214;4.264;4.109;0.057;0.0446
T1-P18B1;101.5;;;5;4.964;4.995;5.087;307.9;297.4;0.0028;0.0033;0.0333;0.0335;0.0325;0.164;0.1537;0.1576;214.2;205.9;4.829;4.972;0.1469;0.1512;0.1487;0.991;1.005;0.9608;0.9525;0.9823;0.0367;348.4;1.015;1.016;1.03;8.422;8.613;8.599;8.624;0.0508;0.0486
T1-L18B1;99.1;;;5;8.525;8.515;8.591;71.19;70.05;0.0011;0.0017;0.0411;0.0418;0.0386;0.3224;0.3103;0.3095;158;152;7.604;7.681;0.2764;0.2831;0.2791;0.8844;0.8877;0.8611;0.8604;0.8785;0.0557;404;1.01;1.008;1.022;11.26;11.5;11.57;11.65;0.0375;0.035
T1-F18D21;187.8;2.1843;;5;15.34;15.28;15.1;397.1;415.6;0.0183;0.0134;1.164;1.146;1.156;7.055;7.05;7.105;351.5;337.6;2.544;2.567;0.2189;0.2269;0.2214;31.9;32.57;31.65;31.21;31.99;0.1032;1114;1.009;1.004;1.018;8.976;9.17;9.234;9.196;0.4953;0.4484
T1-F18D22;217.1;2.1843;;5;17.78;17.73;17.43;466.2;495;0.0217;0.0147;1.36;1.337;1.348;8.144;8.1;8.054;415;399.9;2.908;2.932;0.2501;0.2585;0.2529;37.26;37.68;36.98;36.23;37.28;0.1192;1286;0.9968;0.9979;1.011;9.917;10.12;10.17;10.18;0.5822;0.5273
T2-F18D11;191.1;1.6723;;5;16.69;16.6;16.38;396;413.4;0.0215;0.0148;1.153;1.136;1.145;9.748;9.613;9.642;333.3;316.6;2.627;2.607;0.2649;0.2728;0.2686;31.93;32.42;31.65;31.21;31.96;0.0936;1213;0.9849;0.9794;0.9971;13.35;13.56;13.73;13.83;1.034;0.971
T2-F18D12;183.7;1.6723;;5;16.67;16.6;16.37;393.1;410.1;0.0212;0.0145;1.132;1.114;1.124;9.526;9.389;9.406;330.8;317.2;2.998;2.981;0.2842;0.2928;0.2891;31.61;31.87;31.24;30.57;31.33;0.0904;1203;0.9909;0.9908;1.003;14.97;15.2;15.42;15.57;0.9888;0.9245
T2-N18Y11;187.3;27.6687;;5;1.47;1.557;1.566;603.4;645.4;0.0062;0.0031;0.0458;0.0656;0.0631;0.0248;0;0.0084;711.4;664.6;24.81;26.09;0.6654;0.6872;0.6736;0.4365;0.3806;0.3665;0.361;0.3741;0.0308;457.4;0.9493;0.948;0.959;5.149;5.282;5.335;5.217;0.134;0.1307
T2-N18Y12;204.6;27.6687;;5;1.646;1.73;1.758;660.4;705.4;0.0062;0.0032;0.0496;0.0663;0.072;0.031;0;0.0091;793.5;741;27.37;28.87;0.7338;0.7569;0.7445;0.4832;0.4184;0.4041;0.3969;0.4111;0.0505;503.3;0.9745;0.975;0.9872;5.658;5.806;5.889;5.739;0.1355;0.1318
T1-F18E11;194.4;55.7184;;5;10.31;10.35;10.49;667.9;712.2;0.0028;0.0033;0.0271;0.0312;0.0309;0.0816;0.0632;0.0707;263.4;252.7;3.384;3.449;0.1128;0.1158;0.1146;1.042;1.046;1.005;0.9881;1.018;0.0473;655.5;1.024;1.021;1.033;3.509;3.612;3.604;3.551;0.0443;0.0418
T1-F18E12;245.4;55.7184;;5;12.21;12.2;12.33;838.3;901.7;0.0041;0.0025;0.0356;0.0432;0.0393;0.0976;0.08;0.0892;317.5;306.1;3.662;3.746;0.1348;0.1374;0.1362;1.396;1.384;1.347;1.34;1.379;0.0345;822.6;0.9804;0.9729;0.9848;8.94;9.111;9.21;9.171;0.0522;0.0484
T1-F18E21;216.1;59.7654;;5;11.1;11.13;11.26;752.6;806.5;0.003;0.0034;0.0294;0.0332;0.0313;0.0944;0.0781;0.0862;293.8;294.3;3.088;3.085;0.1182;0.1219;0.1207;0.9248;0.913;0.8856;0.8869;0.8948;0.0318;727.5;1.003;0.9966;1.007;9.986;10.22;10.32;10.3;0.0498;0.0464
T1-F18E22;204.4;59.7654;;5;10.88;10.9;11.05;713.4;768.7;0.0032;0.0032;0.0276;0.0313;0.0298;0.0918;0.0622;0.0711;279.1;276.4;2.992;2.969;0.1167;0.1187;0.119;0.8198;0.8021;0.7861;0.7898;0.786;0.0304;691;1.025;1.018;1.027;10.72;10.94;11.09;11.09;0.0532;0.0498
T1-19A1;;;10;5;28.12;28.21;27.52;48.28;47.85;0.0115;0.0014;1.721;1.709;1.731;2.169;2.091;2.104;1461;1267;132.3;105.8;5.607;5.74;5.685;48;47.7;47.53;46.84;47.15;0.062;1256;1.079;1.07;1.083;8.119;8.256;8.543;8.253;0.9682;0.9563
T1-19A2;;;10;5;28.41;28.48;27.77;48.65;47.67;0.0125;0.0018;1.728;1.722;1.743;2.18;2.1;2.115;1488;1267;132.9;106.7;5.639;5.765;5.72;48.3;47.84;47.95;47.08;47.36;0.0563;1262;1.068;1.06;1.074;9.13;9.28;9.605;9.322;0.9744;0.9625
T1-P19A1;;;10;5;1.542;2.016;1.701;65.62;65.39;0.047;0.0013;0.8305;0.9065;1.121;0.1793;0;0.0038;4460;4052;149.7;131.3;4.771;4.953;4.85;6.857;6.284;6.155;5.98;6.192;0.2568;3926;0.9135;0.9115;0.9408;5.698;5.511;7.416;5.383;1.04;0.9784
T1-P19A2;;;10;5;10.03;10.56;10.38;58.94;58.42;0.0506;0.0024;0.84;0.92;1.158;0.1898;0;0.0009;3973;3726;142.9;124.9;4.591;4.76;4.65;16.3;15.83;15.54;15.16;15.6;0.2728;4072;0.9623;0.95;0.9765;6.395;6.137;8.065;6.011;0.7371;0.6625
