Sample;Al;S;Cl;K;Ca;Mn;Fe;Co;Ni;Cu;Zn;Mo;Ru;Rh;Pd;Ag;Cd;Os;Ir;Pt;Au;Hg;Pb;;;
;мкг/л;мг/л;мг/л;мкг/л;мкг/л;мкг/л;мг/л;мкг/л;мкг/л;мкг/л;мкг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;;;
T1-P17B2;884;50;3022;167.6;46736;28;34.6;5;180.5;27.3;9;166;32;38;64;154;90.3;22.2;7.1;18.0;36.6;444;1500;;;
T1-17B2;2636;16;1468;421.3;8276;60;101.4;7.5;236.0;82.7;9.8;456;129;165;243;313;72.3;14.8;27.1;66.9;21.5;218;4967;;;
T1-L17B2;1415;55;2412;299.4;12188;42;20;6.5;157.6;64.9;5.6;186;44;187;303;143;42.5;21.8;11.1;94.8;32.8;172;5573;;;
T1-L16B2;1440;48;2218;320.6;10761;41;20.3;5.9;146.0;48.1;5.1;166;46;210;374;292;41.2;22.0;12.2;103.4;29.5;213;7770;;;
T1-17B1;2691;18;2690;409.8;10722;68;99;8;249.3;90.4;9.6;449;122;158;265;288;55.8;18.6;26.3;82.5;27.5;226;4963;;;
T1-16B1;2879;19;3167;439.8;11105;74;104.4;8.5;263.5;94.8;11.8;478;130;167;319;488;76;19.2;27.7;70.2;32.5;186;9328;;;
T1-P17B1;855;52;588;178.6;46459;26;33.7;4.6;168.3;27.4;5.3;152;32;42;65;172;77.2;15.2;7.4;20.8;8.9;141;1483;;;
T1-L16B1;1384;52;2297;317.6;12324;41;22.5;6;155.3;48.8;7.1;175;45;179;346;412;43.9;21.5;11.1;96.8;23.2;161;7720;;;
T1-L17B1;1365;56;2115;288.6;12805;39;20.7;5.9;147.8;57.1;5.2;168;41;176;334;255;43.2;21.5;10.5;106.8;28.5;141;6048;;;
T1-16B2;2362;17;2903;387.8;11753;65;90.3;7.7;239.3;90.3;11.8;1045;112;142;251;404;198.2;30.5;24.0;64.2;20.6;577;5183;;;
T1-P17E21;969;49;3544;157.5;51570;21;27.5;4.1;183.0;31.9;4.5;173;36;46;81;116;85.8;14.6;8.2;21.1;19.8;89;1592;;;
T1-P17E11;1038;55;3751;174.6;58038;20;27;3.6;196.4;33;4.4;198;42;53;103;169;91;12.6;9.5;24.3;23.2;95;2120;;;
T1-P17E22;985;50;3275;175.5;53241;20;28.3;4.1;191.3;34.8;4.5;190;37;48;85;353;91.5;14.2;8.8;21.5;14.8;101;1682;;;
T1-P17E12;924;47;255;175.4;49311;15;22.3;3;166.1;28;5.1;163;30;44;71;282;99;12.5;8.3;27.8;7.4;120;1552;;;
T1-L16E21;1370;46;2810;345.6;12270;37;17.4;5.4;137.4;58.3;4.7;201;57;322;610;643;39.6;25.1;15.4;166.3;37.1;198;10963;;;
T1-L16E22;1796;55;2468;458;13146;48;20.7;6.5;153.6;70.9;7.1;229;71;389;740;975;47.8;27.1;18.6;202.5;32.8;253;13467;;;
T1-L16E11;1659;51;1168;396.6;13540;40;17.5;6.3;153.1;63.5;9.6;194;56;297;521;576;47.5;18.8;15.2;151.1;28.9;270;10530;;;
T1-L16E12;1609;54;2528;416.9;14031;42;18.8;6.5;156.7;66.9;6.2;215;61;321;591;689;55.7;22.0;16.0;156.2;28.0;427;11145;;;
M1-L15C1;43;142;2088;70.1;918;52;4.1;1.8;416.6;2.5;8.6;275;2;1;17;743;34.2;7.5;0.3;0.5;7.8;681;153;;;
M1-L15C2;32;111;3178;117.2;1304;39;3;1.4;312.4;3;14.4;210;2;1;10;298;37.2;7.1;0.3;0.5;7.7;215;157;;;
M1-P15B1;34;30;1621;44.5;33903;11;7.1;0.6;54.7;1.4;4.8;38;0;2;6;21;49.2;5.4;0.2;0.5;3.5;207;130;;;
M1-15C1;65;9;2177;43.8;695;94;7.5;2.9;753.3;0.9;11.7;218;3;1;11;15;32.3;4.9;0.6;0.6;4.2;127;233;;;
