ц;Ca 315.887;Ca 317.933;Ca 393.366;Ca 396.847;Ca 422.673;Co 230.786;Co 231.160;Co 237.863;Co 238.892;Co 258.033;Cu 324.754;Cu 327.395;Fe 234.350;Fe 238.204;Fe 239.563;Fe 258.588;Fe 259.940;Ni 216.555;Ni 221.648;Ni 227.021;Ni 230.299;Ni 231.604;Sc 335.372;Sc 357.634;Sc 361.383
T2_L1P1B3 ;247,7;229,2;некал ;9.101 o;259.8 o;0,0648;0,0668;0,0605;-0.1728 uv;0,067;0,2824;0,2907;364,4;некал ;363,1;363,6;некал ;1,408;1,37;1,369;1,372;1,327;0,953;0,9576;0,9515
T2_L1P1B3;145,7;143,6;некал ;9.186 o;181.6 o;0,0516;0,0545;0,0476;-0.2008 uv;0,0538;0,271;0,2814;414,2;некал ;410,4;408,5;некал ;0,9787;0,9372;0,9384;0,9517;0,9093;0,9596;0,963;0,9561
T2_L1P1B3;174,3;171,7;некал ;9.127 o;220.2 o;0,0547;0,0603;0,0548;-0.2108 uv;0,0594;0,2862;0,2972;476,4;некал ;460,2;467,4;некал ;1,07;1,026;1,025;1,017;0,9939;0,9542;0,9559;0,9507
T2_L1B1;73,67;72,73;некал ;9.408 o;78,87;0,0505;0,0497;0,0414;-0.0543 uv;0,0459;0,6245;0,6303;153,9;некал ;151,9;154,1;некал ;1,154;1,131;1,135;1,134;1,092;0,9658;0,9683;0,9624
T2_L1B1;103,8;102,5;некал ;9.695 o;127,9;0,0592;0,0595;0,0447;-0.0569 uv;0,0567;0,7546;0,7611;177,7;некал ;174,7;176,8;некал ;1,384;1,356;1,358;1,367;1,318;0,9342;0,9359;0,9287
T2_L1B1;42,32;41,77;некал ;9.541 o;44,12;0,0464;0,045;0,0379;-0.0745 uv;0,0429;0,341;0,3459;189,2;некал ;183,5;189;некал ;1,086;1,062;1,062;1,059;1,028;0,9836;0,9821;0,9763
T2_L1P1B4;283,7;261,4;некал ;8.880 o;273.5 o;0,0565;0,0568;0,0516;-0.1231 uv;0,0549;0,2608;0,2676;281;некал ;283,2;278,7;некал ;1,781;1,736;1,739;1,731;1,681;0,9625;0,9632;0,961
T2_L1P1B4;164,8;162,6;некал ;9.266 o;216.1 o;0,0604;0,0636;0,0563;-0.2097 uv;0,0624;0,2771;0,2889;475,1;некал ;460,2;463,6;некал ;0,8481;0,8051;0,8028;0,8074;0,7733;0,949;0,9522;0,9452
T2_L1P1B4;301,6;277,6;некал ;9.104 o;284.3 o;0,0704;0,0719;0,0653;-0.1531 uv;0,0712;0,2932;0,3026;325,4;некал ;327,5;325,2;некал ;1,37;1,326;1,331;1,326;1,284;0,9446;0,947;0,9388
T2-1B;20,65;20,17;некал ;9.883 o;21,77;0,0652;0,0799;0,0748;-0.4269 uv;0,0862;0,7088;0,7358;1015 x;некал ;827.2 x;980.8 x;некал ;1,828;1,735;1,738;1,724;1,68;0,9774;0,9775;0,9716
T2_L1P1F1N1B4;376;368,5;некал ;9.179 o;306.5 o;0,0287;0,0278;0,027;-0.1408 uv;0,0268;0,0818;0,0903;297,6;некал ;283;277,2;некал ;0,6609;0,6277;0,6301;0,6427;0,6082;0,9241;0,9275;0,9199
T2_L1P1F1FB4;209,4;196,9;некал ;9.428 o;249.7 o;0,7597;0,7804;0,7479;0,4532;0,77;3,85;3,883;290,4;некал ;291,1;286,4;некал ;23.60 x;23,21;23.52 x;23.35 x;23,3;0,9499;0,951;0,943
T2_L1P1F1N1B3 ;449,2;442,9;некал ;9.156 o;308.8 o;0,0217;0,0221;0,0206;-0.1350 uv;0,0205;0,0719;0,0803;282,1;некал ;269,2;261,4;некал ;0,7078;0,6758;0,6785;0,6753;0,6534;0,9163;0,9186;0,9106
T2_L1P1F1N1B3;427,7;421,3;некал ;9.009 o;302.4 o;0,0199;0,0188;0,0165;-0.1254 uv;0,0161;0,0579;0,0653;253,2;некал ;244,4;253,2;некал ;0,503;0,4753;0,4786;0,4944;0,4602;0,9301;0,9314;0,927
T2_L1P1F1FB4;239,2;220,2;некал ;8.950 o;257.6 o;0,7141;0,7343;0,7059;0,4873;0,7269;3,469;3,498;259,4;некал ;247,4;252,4;некал ;16,65;16,34;16,51;16,36;16,17;0,9688;0,9687;0,9619
T2_L1P1F1FB4;408,5;400,8;некал ;8.899 o;297.7 o;0,031;0,0314;0,0291;-0.1548 uv;0,0302;0,0692;0,0784;305,7;некал ;310,2;304,3;некал ;0,6913;0,6554;0,658;0,6671;0,6335;0,9461;0,9465;0,9387
