Метки Образцов;Al 308.215;Al 394.401;Al 396.152;Ca 315.887;Ca 317.933;Ca 393.366;Ca 396.847;Ca 422.673;Cd 214.439;Cd 226.502;Cd 228.802;Co 230.786;Co 231.160;Co 237.863;Co 238.892;Co 258.033;Cu 324.754;Cu 327.395;Fe 234.350;Fe 238.204;Fe 239.563;Fe 258.588;Fe 259.940;Mg 279.553;Mg 279.800;Mg 280.270;Mg 285.213;Mn 257.610;Mn 259.372;Mn 260.568;Mn 293.931;Mn 294.921;Ni 216.555;Ni 221.648;Ni 227.021;Ni 230.299;Ni 231.604;Pb 220.353;Pb 283.305;Pb 405.781;S 178.165;S 180.669;S 181.972;S 182.562;Sc 335.372;Sc 357.634;Sc 361.383;Si 250.690;Si 251.432;Si 251.611;Si 252.411;Si 252.851;Si 288.158;Zn 202.548;Zn 206.200;Zn 213.857;Zn 328.233;Zn 334.502;Zn 334.557;Zn 472.215
T2-L2P2F2N2B2;6,603;некал ;6,681;329,2;332,6;некал ;8.180 o;200.6 o;0,0039;0,0182;0,0036;0,0192;0,0254;0,0107;некал ;0,0169;0,0436;0,054;276,2;некал ;некал ;284,1;некал ;некал ;3,876;некал ;3,86;некал ;некал ;0,2375;0,2437;некал ;0,4548;0,4072;0,3976;0,4435;0,423;0,0328;0,6222;некал ;некал ;некал ;некал ;323,5;0,9957;0,9792;0,964;8,223;5,037;некал ;8,702;4,763;8,385;0,1151;0,1081;0,1423;6,39;некал ;некал ;некал 
T2-L3P3F3C1D2;9,62;некал ;9,643;260,4;248,9;некал ;8.146 o;197.6 o;0,0051;0,012;0,0041;0,3;0,2952;0,2752;некал ;0,2868;4,234;4,309;165,1;некал ;некал ;168,7;некал ;некал ;2,098;некал ;2,03;некал ;некал ;0,1014;0,103;некал ;9,82;9,718;9,424;9,83;9,776;0,0226;0,327;некал ;некал ;некал ;некал ;772,1;0,9874;0,971;0,9676;4,879;2,879;некал ;5,075;2,864;4,983;0,2918;0,2493;0,3316;9,359;некал ;некал ;некал 
T2-L3P3F3D1;10,39;некал ;10,41;211,2;207,6;некал ;8.887 o;161.0 o;0,0038;0,0097;0,0041;0,2116;0,2066;0,1887;некал ;0,2008;4,626;4,741;137,9;некал ;некал ;141,6;некал ;некал ;2,317;некал ;2,165;некал ;некал ;0,1016;0,1044;некал ;11,83;11,74;11,47;12,01;11,87;0,0382;0,3025;некал ;некал ;некал ;некал ;634,7;0,9647;0,9344;0,9163;1,715;1,588;некал ;1,825;1,033;1,75;0,2429;0,1993;0,2864;8,883;некал ;некал ;некал 
T2-L4P4F4D2;9,49;некал ;9,523;307,6;305,4;некал ;8.099 o;195.5 o;0,0043;0,0122;0,0042;0,0656;0,064;0,0499;некал ;0,0588;2,881;2,951;171,7;некал ;некал ;176,8;некал ;некал ;2,199;некал ;2,145;некал ;некал ;0,086;0,0882;некал ;3,429;3,358;3,239;3,478;3,419;0,0225;0,3506;некал ;некал ;некал ;некал ;500,1;1,01;0,984;0,9811;5,164;3,047;некал ;5,391;3,023;5,295;0,1271;0,1003;0,1406;9,151;некал ;некал ;некал 
T2-L3P3F3N3C1;4,518;некал ;4,6;223,3;215,1;некал ;8.524 o;166.3 o;0,0029;0,0131;0,0036;0,0224;0,022;0,0123;некал ;0,0183;0,0161;0,0247;230;некал ;некал ;243,4;некал ;некал ;4,233;некал ;4,013;некал ;некал ;0,1632;0,1674;некал ;0,2358;0,2083;0,2014;0,2157;0,2155;0,0149;0,4731;некал ;некал ;некал ;некал ;215,1;0,9721;0,9678;0,9464;0,7912;1,931;некал ;0,8826;0,4428;0,7974;0,1106;0,1067;0,1287;4,489;некал ;некал ;некал 
T2-L3P3F3NEC2;5,406;некал ;5,496;341,3;348,8;некал ;8.031 o;196.5 o;0,0027;0,0127;0.0020 uv;0,0169;0,0168;0,006;некал ;0,0112;0,0197;0,0283;212,4;некал ;некал ;227,7;некал ;некал ;4,617;некал ;4,577;некал ;некал ;0,1449;0,1487;некал ;0,2437;0,2171;0,2072;0,2368;0,2248;0,0246;0,4491;некал ;некал ;некал ;некал ;343,3;1,002;0,9868;0,9798;7,569;4,216;некал ;7,872;4,383;7,705;0,1666;0,162;0,1883;6,377;некал ;некал ;некал 
K;0,2377;некал ;0,2533;7,507;7,639;некал ;7.057 o;8,156;-0.0003 uv;-0.0001 uv;0.0001 uv;0,0004;0,0011;-0.0023 uv;некал ;-0.0010 uv;0,0108;0,0096;0,2901;некал ;некал ;0,2873;некал ;некал ;1,06;некал ;1,017;некал ;некал ;0,0159;0,0164;некал ;0,0099;0,005;0,0071;0,0163;0,0083;0,0083;0,0037;некал ;некал ;некал ;некал ;0,8073;1,032;1,026;1,022;4,374;1,511;некал ;4,581;2,589;4,458;0,0698;0,0694;0,0722;0,1311;некал ;некал ;некал 
T2-L3P3F3C1;4,964;некал ;5,006;313,5;314,8;некал ;8.078 o;196.6 o;0,0032;0,0141;0,0027;0,0207;0,023;0,013;некал ;0,0187;0,0103;0,0183;230;некал ;некал ;236,6;некал ;некал ;4,754;некал ;4,772;некал ;некал ;0,1585;0,1625;некал ;0,2433;0,2147;0,207;0,2391;0,2223;0,0157;0,4908;некал ;некал ;некал ;некал ;347,6;1,01;0,9855;0,981;9,026;4,784;некал ;9,46;5,19;9,184;0,0801;0,0762;0,1022;4,832;некал ;некал ;некал 
T2-L4P4F4C4N4B2;4,815;некал ;4,861;321,6;328,9;некал ;8.149 o;198.8 o;0,0029;0,0135;0.0008 uv;0,0255;0,0263;0,0164;некал ;0,0218;0,0231;0,0318;222;некал ;некал ;233,4;некал ;некал ;4,483;некал ;4,438;некал ;некал ;0,1715;0,1743;некал ;0,481;0,4455;0,4312;0,4661;0,4596;0,0202;0,4908;некал ;некал ;некал ;некал ;345,1;0,9876;0,9767;0,9713;3,173;2,782;некал ;3,337;1,844;3,236;0,1056;0,1007;0,1292;4,782;некал ;некал ;некал 
T2-L4P4F4C4B2;6,291;некал ;6,354;294,7;283,8;некал ;7.995 o;191.6 o;0,0022;0,0111;0.0013 uv;0,0197;0,019;0,0102;некал ;0,0148;0,035;0,0426;193,7;некал ;некал ;196,8;некал ;некал ;3,389;некал ;3,32;некал ;некал ;0,1144;0,1169;некал ;0,4076;0,3788;0,365;0,3986;0,3903;0,0233;0,3974;некал ;некал ;некал ;некал ;409,2;1,02;1,001;0,9969;4,023;2,809;некал ;4,207;2,344;4,107;0,0672;0,0643;0,0851;6,672;некал ;некал ;некал 
