name;Сa;dCa;Сo;dCo;Cu ;dCu;Fe;dFe;Ni;dNi
T12_115_0_1;396,84;15,70;0,97;0,02;0,11;0,01;11135,00;499,01;1,64;0,01
T12_120_0_1;402,08;15,82;0,85;0,02;0,26;0,03;11394,50;509,18;3,19;0,01
AOB1_1_1;342,16;13,04;0,16;0,00;0,06;0,01;2850,75;41,34;5,53;0,01
AV11_110;277,06;8,21;9,99;0,02;900,15;11,65;13306,00;683,35;453,08;2,88
AV11_110_1;286,34;9,60;2,72;0,02;215,15;2,88;7708,50;252,57;120,74;0,45
AV_1_42;397,76;17,00;2,90;0,02;11,42;0,06;3304,50;55,37;571,90;3,44
AV_1_102;317,24;11,77;0,61;0,01;4,41;0,03;1117,35;12,53;125,36;0,48
AV_1_131;389,32;16,68;1,15;0,01;19,49;0,12;2485,50;36,00;183,18;0,91
обезм. Р-р;151,66;2,01;8,65;0,57;2885,00;60,67;494,65;13,47;11225,00;210,63
NV_M3I;218,62;5,57;4,11;0,02;44,97;0,38;10750,75;486,14;231,94;1,26
NV_AV1;202,72;4,92;6,22;0,05;56,41;0,48;7985,75;275,55;231,60;1,30
NV1_1;38,92;15,82;0,30;0,11;1,40;0,04;413,78;65,83;98,92;1,35
NV1_2;54,40;24,20;5,40;0,59;43,52;1,07;598,78;119,11;263,28;8,82
NV_KSH;43,46;17,50;0,42;0,21;0,77;0,03;460,64;70,95;103,00;1,85
NV1_1*10;58,68;0,29;0,34;0,02;1,67;0,01;648,82;1,89;122,46;0,14
NV1_2*10;74,07;0,35;5,54;0,07;41,88;0,09;881,70;2,72;294,04;0,36
NV_KSH*10;57,97;0,31;0,43;0,02;0,86;0,00;645,50;1,65;113,54;0,13
аов 1,2-1-f;4,27;0,01;0,91;0,01;34,08;0,04;168,91;0,40;38,23;0,04
nm1;590,00;40,00;0,90;0,30;27,00;1,00;5808,00;651,00;38,00;0,30
nm2;610,00;40,00;1,00;0,40;31,00;1,00;5721,00;636,00;43,00;0,30
nm1.5;630,00;40,00;1,00;0,30;35,00;1,00;6037,00;767,00;49,00;0,30
nm2.5;450,00;30,00;0,60;0,10;19,00;0,00;441,00;9,00;32,00;0,10
nm3.5;510,00;40,00;0,90;0,00;8,00;0,00;553,00;0,40;41,00;0,14
nm0;410,00;10,00;3,00;0,80;102,00;1,00;6254,00;920,00;121,00;0,80
Т13 205 100;60,00;0,00;0,00;0,10;7,00;0,00;3956,00;402,00;22,00;0,00
Т13 205 10;510,00;10,00;5,00;0,20;66,00;2,00;6311,00;923,00;167,00;0,50
Т13 105;360,00;10,00;5,00;0,30;76,00;2,00;6238,00;926,00;188,00;0,80
Т13 305;540,00;20,00;4,00;0,60;43,00;1,00;6306,00;900,00;144,00;1,10
Т13_115;400,00;10,00;6,00;0,30;87,00;2,00;6283,00;898,00;208,00;0,90
Т13_215;500,00;10,00;5,00;0,20;79,00;1,00;6306,00;916,00;189,00;0,40
Т13_315;490,00;10,00;4,00;0,60;44,00;1,00;6362,00;954,00;157,00;0,80
Т13_120;280,00;10,00;6,00;0,40;93,00;1,00;6293,00;907,00;216,00;0,70
Т13_220;470,00;10,00;6,00;0,40;97,00;2,00;6252,00;943,00;229,00;0,40
Т13_320;490,00;10,00;5,00;1,00;46,00;1,00;6293,00;911,00;172,00;0,80
