name;Al;S;Cl;K;Ca;Mn;Fe;Co;Ni;Cu;Zn;Mo;Ru;Rh;Pd;Ag;Cd;Os;Ir;Pt;Au;Pb
T2-1A1;28.598;1160.0;660.0;1.476;63.85;5.663;1084.0;1.73;48.578;0.132;1.11;0.011954600000000001;0.00026;1.1e-05;1e-05;0.00206;0.002548;1e-05;1e-05;1e-05;1e-05;0.00868
T2-1A2;7.3916;280.0;540.0;0.448;16.506;1.437;278.0;0.438;12.366;0.05;0.27;0.0028184;6e-05;1e-05;1e-05;0.0016;0.000642;1e-05;1e-05;1e-05;1e-05;0.108
T2-2A1;5.9886;180.0;1280.0;0.488;12.966;1.1614;224.0;0.356;10.034;0.086;0.222;0.0024211999999999997;6e-05;1.4e-05;2e-05;0.00118;0.000382;6e-06;2e-06;1.5e-06;1e-05;0.08972
T2-2A2;5.9688;180.0;980.0;0.508;13.0;1.1684;216.0;0.354;10.08;0.032;0.222;0.0023858;4e-05;5e-06;2e-05;0.0012;0.000372;4e-06;2e-06;3.2999999999999997e-06;1e-05;0.09266
T2-2B1;17.65;60.0;15850.0;2.623;15.348;0.2738;767.0;0.039;1.176;0.809;0.106;0.009862;0.00088;0.001013;0.00165;0.00229;0.001101;5.6e-05;0.00014;0.000302;5.1e-05;0.03542
T2-3A1;9.1692;240.0;78120.0;0.78;20.312;1.4327999999999999;290.0;0.484;12.43;0.026;0.3;0.003117;8e-05;1.8e-05;2e-05;0.0001;0.000712;3.8e-05;2e-06;4e-06;0.00014;0.00244
T2-3B1;17.273;90.0;17080.0;2.267;38.185;0.3669;682.0;0.05;1.4;0.815;0.15;0.01869;0.00076;0.000973;0.0018;0.00194;0.005878;5e-06;0.000122;0.000309;0.000158;0.02685
T2-4A1;9.625200000000001;240.0;72120.0;0.67;19.144;1.356;294.0;0.46;11.752;0.06;0.294;0.0030974;0.0001;1.6e-05;2e-05;0.00016;0.000652;0.000228;1e-05;5e-06;0.000178;0.00336
T2-5A1;36.568;1000.0;1320.0;0.654;67.306;6.1576;1166.0;1.87;52.918;0.112;1.142;0.012951200000000001;0.00032;3.2e-05;2e-05;0.00136;0.00241;1e-05;1e-05;1e-05;1e-05;0.12654
T2-5B1;21.655;120.0;29480.0;2.676;80.271;0.5565;757.0;0.074;1.827;1.152;0.206;0.003245;0.00088;0.001119;0.00238;0.00211;0.000559;9e-05;0.000148;0.000461;8.7e-05;0.03316
