Метки Образцов;Масса навески (g);sample_mass;Разбавление;Al 308.215;Al 394.401;Al 396.152;Ca 315.887;Ca 317.933;Cd 214.439;Cd 228.802;Co 230.786;Co 231.160;Co 258.033;Cu 324.754;Cu 327.395;Fe 234.350;Fe 258.588;Mg 279.800;Mg 285.213;Mn 257.610;Mn 260.568;Mn 293.931;Ni 216.555;Ni 221.648;Ni 227.021;Ni 230.299;Ni 231.604;Pb 220.353;Pb 283.305;S 178.165;S 180.669;S 181.972;S 182.562;Sc 335.372;Sc 357.634;Sc 361.383;Si 250.690;Si 251.611;Si 252.411;Si 288.158;Zn 202.548;Zn 206.200;Zn 213.857;Zn 334.502
T2-L8B2;126.6;;;12.30 x;12.56 x;12.62 x;80.2;81.2;0.0032;0.004;0.0492;0.0499;0.0481;0.5164;0.5142;216.3;215.9;8.396;8.597;0.339;0.335;0.3341;1.046;1.035;1.035;1.056;1.046;0.0575;0.4181;473;471.8;467;471;0.9683;0.9861;0.9769;8.168;8.41;8.514;8.42;0.0826;0.0781;0.0926;0.1236
T2-L8B1;102;;;10.17;10.34;10.41;63.2;63.51;0.0024;0.0032;0.0396;0.0401;0.0379;0.426;0.4211;174.6;175.9;6.991;7.247;0.2671;0.2644;0.2637;0.8227;0.8178;0.8133;0.833;0.8159;0.0505;0.3379;385;385.6;382.3;386.1;0.9735;0.9908;0.981;8.304;8.556;8.674;8.596;0.0823;0.0781;0.089;0.113
T2-P7B1;99.2;;;5.88;5.94;5.941;255.9;243.5;0.0029;0.0031;0.0251;0.0258;0.0234;0.1891;0.1933;199.1;199.7;3.926;4.068;0.1364;0.1348;0.135;0.7321;0.7239;0.7154;0.7246;0.7192;0.0273;0.3782;291.6;295.5;288.7;292.3;0.9548;0.9742;0.9669;6.62;6.799;6.883;6.776;0.0575;0.0551;0.068;0.0971
T2-L7B1;116.4;;;12.13 x;12.39 x;12.44 x;63.97;64.35;0.0028;0.0033;0.0448;0.0467;0.043;0.4633;0.4603;200.6;202.2;7.802;7.96;0.303;0.3006;0.2999;0.9562;0.9515;0.9479;0.9697;0.956;0.0552;0.3934;418.9;416;413;414.1;0.9476;0.9645;0.959;10.23;10.56;10.68;10.61;0.0726;0.0683;0.0818;0.1058
T2-L7B2;111.6;;;10.89;11.09;11.16;59.24;59.82;0.0031;0.002;0.0436;0.0441;0.0436;0.4396;0.4352;205.6;205.8;7.178;7.432;0.2839;0.2826;0.2804;0.951;0.9435;0.9383;0.9452;0.951;0.0517;0.3945;409.8;405.3;402;404.1;0.9608;0.981;0.9709;1.254;1.275;1.326;1.271;0.0652;0.0606;0.0747;0.1038
T2-7B2;101.7;;;20.08 x;20.82 x;20.50 x;45.67;45.92;0.0076;0.0001 uv;0.0539;0.0666;0.071;0.801;0.8095;784.9;789.3;9.928;10.16;0.4223;0.4238;0.4209;1.369;1.315;1.307;1.317;1.319;0.0628;1.476;121.5;123.2;119.7;121.7;0.9478;0.9634;0.9548;7.478;7.686;7.848;7.648;0.0867;0.0728;0.1274;0.2782
T2-7B1;98.8;;;19.13 x;19.82 x;19.50 x;44.15;44.35;0.0072;-0.0002 uv;0.0541;0.0678;0.0697;0.7989;0.8061;722.5;733.6;10.14;10.41;0.3847;0.3865;0.3844;1.323;1.278;1.266;1.282;1.279;0.0555;1.415;111.9;111.9;108.8;110.8;0.9562;0.974;0.9686;6.686;6.867;7.026;6.829;0.1073;0.0948;0.1437;0.2863
T2-F7B2;134.5;;;8.037;8.114;8.191;333.8;325.9;0.004;0.0032;0.0236;0.0289;0.0251;0.0921;0.1002;251;253.8;4.837;5.049;0.1692;0.1687;0.1678;0.5483;0.5294;0.5296;0.5491;0.5351;0.0249;0.5038;368.9;370.3;362.1;363.9;0.9304;0.9503;0.9421;10.84;11.18;11.3;11.19;0.0764;0.0743;0.0907;0.12
T2-P7B2;100;;;7.178;7.293;7.322;263.9;251.5;0.0033;0.0007 uv;0.0248;0.026;0.0249;0.2201;0.2235;232.6;237.5;4.305;4.442;0.1463;0.1447;0.1453;0.7207;0.7048;0.6998;0.7189;0.7099;0.0322;0.424;308.8;309.1;301.4;304.1;0.9364;0.9533;0.9426;7.545;7.739;7.844;7.735;0.0736;0.0705;0.0851;0.113
T2-N8E11;98.5;198.864;;5.088;5.098;5.127;342.9;350.1;0.0028;0.0034;0.0248;0.023;0.0221;0.0416;0.0495;212.4;212.1;3.833;3.977;0.1675;0.1657;0.1652;0.4043;0.3885;0.388;0.3954;0.3905;0.0232;0.3885;279.3;280.5;271.6;274.5;0.9367;0.9558;0.9498;5.515;5.673;5.751;5.665;0.0676;0.0664;0.078;0.1035
T2-N8E12;96.3;198.864;;4.705;4.716;4.731;322.6;327.6;0.003;0.0022;0.0212;0.0205;0.0191;0.0421;0.0496;200.5;201.4;5.574;5.805;0.1847;0.1832;0.1824;0.3616;0.3483;0.3463;0.3486;0.3491;0.0211;0.3749;264.9;268.6;260.3;263.3;0.9687;0.9903;0.9818;2.13;2.175;2.228;2.166;0.0571;0.0561;0.0672;0.0917
T2-N8E13;101.2;198.864;;4.64;4.643;4.662;326.2;328.9;0.0033;0.0022;0.02;0.0203;0.0199;0.0357;0.0436;214.4;214.2;15.46;16.26;0.3566;0.3563;0.354;0.3491;0.3332;0.3323;0.3388;0.3339;0.0278;0.3792;294;295.4;286.5;289.6;0.9467;0.9673;0.9586;4.077;4.181;4.255;4.17;0.0505;0.05;0.062;0.0872
T2-N8E21;102.3;125.978;;5.571;5.592;5.611;353.2;360;0.0031;0.0024;0.0239;0.0258;0.0241;0.0525;0.0603;228.3;228.7;4.127;4.271;0.193;0.1917;0.1906;0.476;0.461;0.4607;0.4713;0.4621;0.0251;0.4326;297.6;298.5;288.9;292;0.9285;0.95;0.9434;5.845;6.005;6.09;5.954;0.0705;0.0687;0.0828;0.1092
T2-N8E22;98.4;125.978;;3.04;3.028;3.051;213.4;203.7;0.002;0.0038;0.0158;0.0137;0.0113;0.0252;0.0308;128.6;129.4;4.27;4.412;0.1302;0.1286;0.1285;0.2729;0.2656;0.2651;0.2689;0.2659;0.0202;0.2321;173.2;176.3;169.5;172.1;0.9764;0.9957;0.988;3.129;3.205;3.269;3.203;0.0528;0.0523;0.0584;0.0825
T2-N7B2;99.5;;;4.959;4.974;4.985;334.7;340.7;0.0036;0.0035;0.0249;0.0264;0.0246;0.0502;0.0583;227.7;233.7;4.473;4.643;0.1682;0.1675;0.1673;0.5196;0.503;0.5033;0.5159;0.5045;0.027;0.4366;282.5;283.5;274.6;277.2;0.9406;0.9611;0.9526;7.433;7.622;7.753;7.625;0.065;0.0636;0.0777;0.1013
T2-N7B1;118.8;;;6.097;6.181;6.205;406.2;418.1;0.0038;0.0017;0.0276;0.033;0.029;0.0386;0.0486;259.6;263.2;5.454;5.712;0.2046;0.2042;0.2024;0.5173;0.4956;0.4972;0.5172;0.4976;0.0233;0.5199;346.8;346.8;337.7;338.9;0.9404;0.9599;0.9522;10.76;11.11;11.23;11.14;0.081;0.0792;0.0964;0.1249
T2-F7B1;98.2;;;7.597;7.75;7.755;316.4;305.5;0.0031;0.0037;0.0206;0.0222;0.0216;0.0473;0.056;245.7;246.7;4.132;4.254;0.1465;0.1461;0.1454;0.4121;0.3981;0.3965;0.4095;0.3963;0.0299;0.4693;337.4;336.7;327.6;329;0.9045;0.9371;0.9177;9.084;9.375;9.493;9.396;0.0565;0.0543;0.0693;0.1002
T2-L9B1;94.4;;;13.49 x;13.90 x;13.72 x;52.82;53.22;0.0026;0.0026;0.036;0.0352;0.0335;0.3728;0.3688;192.2;192.3;6.558;6.7;0.2538;0.2529;0.2505;0.7653;0.7547;0.7479;0.76;0.7526;0.052;0.3798;370.3;363.8;359.2;360.9;0.9831;1.001;0.9875;5.231;5.381;5.426;5.384;0.0849;0.0821;0.0912;0.1201
T2-N8E23;97.3;125.978;;5.298;5.31;5.334;346.7;354.1;0.0028;0.0049;0.0231;0.0238;0.0227;0.0455;0.0531;220.9;220.8;6.214;6.525;0.1937;0.192;0.1907;0.4739;0.4584;0.4574;0.4686;0.4589;0.0325;0.4179;295.7;295.6;286.2;289.1;0.9455;0.9624;0.9578;6.374;6.504;6.615;6.507;0.054;0.0525;0.0663;0.086
T2-P9B2;101.6;;;6.567;6.663;6.692;299.2;288.3;0.0036;0.0016;0.0234;0.0231;0.0251;0.2099;0.2141;243.7;240.7;4.333;4.461;0.1459;0.1448;0.1446;0.6921;0.6733;0.6718;0.6862;0.6756;0.0293;0.4838;339.4;338.2;330.3;332;0.9518;0.9702;0.9617;7.839;8.049;8.177;8.077;0.0594;0.0561;0.0731;0.1059
T2-L9B2;114.9;;;10.49;10.72;10.79;58.69;59.11;0.0034;0.0033;0.0417;0.0421;0.0418;0.4227;0.4186;223.7;219.9;7.415;7.48;0.2869;0.2875;0.2864;0.9078;0.8958;0.896;0.9034;0.8957;0.0546;0.4525;452;441.6;434.7;438.4;0.9839;1.002;0.9964;6.701;6.888;6.973;6.881;0.0585;0.0537;0.0685;0.1041
T2-N9B2;105.1;;;5.196;5.214;5.233;368.1;378;0.0033;0.0039;0.0217;0.0246;0.0229;0.0411;0.0497;238.7;239.4;5.31;5.566;0.1803;0.1788;0.179;0.4187;0.3995;0.4;0.4157;0.4005;0.0189;0.4538;306.7;305.9;295.4;298.5;0.9374;0.957;0.9474;9.475;9.769;9.937;9.837;0.053;0.0514;0.0661;0.0834
T2-F9B2;100.2;;;5.52;5.546;5.556;322.4;315.8;0.0028;0.003;0.0185;0.0181;0.0165;0.0451;0.0525;205.5;207.3;3.789;3.886;0.1268;0.1261;0.1268;0.3242;0.3084;0.3085;0.3206;0.308;0.029;0.3951;337.2;333.8;325.1;327.4;0.9584;0.9754;0.9684;7.967;8.209;8.311;8.192;0.0694;0.0679;0.079;0.0954
