Метки Образцов;Масса навески (g);sample_mass;Разбавление;Al 308.215;Al 394.401;Al 396.152;Ca 315.887;Ca 317.933;Cd 214.439;Cd 228.802;Co 230.786;Co 231.160;Co 258.033;Cu 324.754;Cu 327.395;Fe 234.350;Fe 258.588;Mg 279.800;Mg 285.213;Mn 257.610;Mn 260.568;Mn 293.931;Mn 294.921;Ni 216.555;Ni 221.648;Ni 227.021;Ni 230.299;Ni 231.604;Pb 220.353;Pb 283.305;S 178.165;S 180.669;S 181.972;S 182.562;Sc 335.372;Sc 357.634;Sc 361.383;Si 250.690;Si 251.611;Si 252.411;Si 288.158;Zn 202.548;Zn 206.200;Zn 213.857;Zn 334.502
T2-11A1;;;10;38.60 x;39.80 x;38.75 x;46.9;47.14;0.0131;0.0021;1.755;1.748;1.734;0.4226;0.4558;1360 x;1263 x;129.8 x;108.9 x;5.674;5.715;5.69;5.974;48.1;47.27;48;48.03;47.63;0.0549;2.161;1048;991.8;967.2;975.8;0.9784;0.9749;0.9726;9.627;9.804;10.1;9.783;0.9615;0.9397;1.273;1.239
T2-11A2;;;10;38.42 x;39.64 x;38.40 x;46.69;46.97;0.0131;0.0019;1.746;1.741;1.723;0.4206;0.4515;1354 x;1268 x;129.1 x;108.2 x;5.641;5.669;5.657;5.926;48.06;47.15;47.93;47.99;47.47;0.0522;2.121;1086;1007;974.5;979.3;0.9822;0.9752;0.9729;9.557;9.738;9.967;9.709;0.9602;0.9356;1.265;1.227
T2-L11A1;;;10;272.5 x;285.3 x;255.8 x;54.33;55.37;0.1152;0.0054;1.253;1.29;1.794;9.746;10.12;3762 ox;3933 ox;179.2 x;168.5 x;7.436;7.592;7.482;13.69;37.23;35.34;35.98;35.8;35.55;0.6782;29.19 x;20500 x;3618 x;5044 x;11500 x;0.787;0.7822;0.7911;7.335;6.53;11.16;6.581;1.09;0.8328;2.245;5.088
T2-L11A2;;;10;281.8 x;296.0 x;265.8 x;71.69;72.51;0.1251;0.0051;1.304;1.334;1.888;10.19;10.54;3751 ox;3918 ox;181.0 x;169.8 x;7.471;7.701;7.57;14.15 x;38.72;36.74;37.25;37.13;37.04;0.6365;30.28 x;19510 x;3584 x;4869 x;10920 x;0.7791;0.7799;0.7887;8.658;7.885;13.37;7.918;1.131;0.858;2.351;5.466
T2-N11A1;;;10;0.3225;0.3332;0.3306;61.26;61.42;0.0003;0.0005;0.0261;0.0257;0.0274;0.0118;0.0129;17.39;16.91;40.84;39.94;0.0693;0.0686;0.0689;0.0744;0.0525;0.049;0.0503;0.0497;0.0497;0.0044;0.0333;176.8;157.4;151;138.2;0.9942;1.003;0.994;0.2554;0.2543;0.2688;0.259;0.0089;0.011;0.0105;0.0301
T2-N11A2;;;10;0.0212;0.0359;0.0277;62.13;62.16;0.0001;0.001;0.0248;0.0238;0.0268;0.0037;0.0039;7.307;7.134;86.4;79.15;0.3515;0.3513;0.3458;0.3299;0.0103;0.0081;0.0094;0.0084;0.0097;0.0064;0.0231;232.1;204;195.1;178.3;0.9879;0.9922;0.983;0.2288;0.2312;0.2408;0.2307;0.0081;0.0104;0.0092;0.0294
T2-N11G1;;;10;0.0094;0.0224;0.0138;48.39;48.34;0.0002;0.0006;0.0257;0.0251;0.0274;0.0035;0.0041;9.284;9.023;67.46;62.88;0.2892;0.2905;0.2848;0.275;0.0158;0.0132;0.0148;0.0137;0.0143;0.006;0.0242;191.1;164.8;156.7;142.7;0.9938;0.9978;0.9892;0.1768;0.1756;0.1887;0.1791;0.0118;0.014;0.0127;0.0362
T2-N11G2;;;10;0.15;0.165;0.1599;54.72;55.13;0.0004;0.0004 uv;0.0286;0.0278;0.0291;0.0091;0.0109;28.59;27.92;34.45;33.9;0.0652;0.0641;0.0631;0.0745;0.0896;0.0841;0.0864;0.0856;0.0853;0.0055;0.0547;221.7;159.8;145.5;129.2;1.003;1.003;0.9974;0.1635;0.1598;0.1744;0.1615;0.0177;0.0188;0.0197;0.0413
T2-P11A1;;;10;41.86 x;43.71 x;42.28 x;61.68;62.67;0.0705;0.0029;0.7634;0.8374;1.056;-0.0316 uv;0.0068;3720 ox;3478 ox;153.9 x;139.6 x;5.285;5.33;5.162;8.678;17.32;16.12;16.48;16.23;16.27;0.2906;15.94 x;7970 x;3120 x;3311 x;4307 x;0.8531;0.8498;0.8577;13.57 x;13.62 x;15.87 x;13.15 x;0.8042;0.6982;1.441;2.93
T2-P11A2;;;10;5.587;6.169;5.817;63.75;64.22;0.0627;0.0012 uv;0.7396;0.8093;0.987;-0.0177 uv;0.0071;3701 ox;3346 ox;161.8 x;141.7 x;5.47;5.462;5.34;8.402;10.81;9.84;10.14;9.913;9.866;0.2517;13.84 x;7587 x;3042 x;3114 x;3846 x;0.8762;0.8726;0.8825;14.84 x;14.80 x;16.73 x;14.35 x;0.7478;0.6569;1.275;2.563
