Sample;Al;S;Cl;K;Ca;Mn;Fe;Co;Ni;Cu;Zn;Mo;Ru;Rh;Pd;Ag;Cd;Os;Ir;Pt;Au;Hg;Pb
ед. изм;мкг/л;мг/л;мг/л;мкг/л;мкг/л;мкг/л;мг/л;мкг/л;мкг/л;мкг/л;мкг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л
T2-L8B2;16022.5;425.6;25762;2998;121068;340;188;47.9;1042;582.6;90.4;1398;385.7;1608;2966;1240;648;57.2;81.1;989.25;126.4;4376;48413
T2-L8B1;10791.1;287.5;14560;2349;85556;213;124;30.1;745;401.3;73.2;959;261.4;1083;1660;877;468;49.7;53.6;432.85;64;2108;30043
T2-P7B1;3090.9;98.3;4198;566;129496;63;70;9.8;347;92.5;26.7;441;84.2;106;154;219;322;11.2;15.4;35.5;8.4;846;4640
T2-L7B1;14653.8;338.3;42765;3352;97391;277;160;40.1;914;481.4;73.9;1366;350.8;1482;2832;1326;663;38.8;72.7;549.35;109;4623;43892
T2-L7B2;12163.1;317.8;23302;2407;84144;244;151;37.1;881;430.3;59.6;1120;304.5;1201;2291;1075;375;4;63.6;477.75;78.1;2265;38333
T2-7B2;21408.8;80.6;14975;2885;64375;373;595;41.6;1175;817.9;75.2;2851;725.2;937;1450;2139;466;36.3;126.2;346.05;51;1570;31182
T2-7B1;19930.1;78.9;20067;3131;60377;332;556;42.1;1124;808.8;93.4;2313;578.6;864;1512;1488;479;2.6;122.3;303.65;39.5;884;25858
T2-F7B2;8216.9;256;30170;1571;334417;150;189;17.1;507;99.1;67;1099;207.2;237;427;715;428;15.8;39;87.55;21.9;3089;11359
T2-P7B2;6994.8;196.7;11576;1053;245960;127;155;17;620;198;60.3;12360;196.7;235;367;500;1099;14.4;34.1;69.35;11.8;410;7597
T2-N7B2;5419.7;211.5;25689;1070;372283;156;172;19.9;515;60;59.7;942;136.8;158;299;607;484;8.7;26.1;46.1;13.7;1892;7018
T2-N7B1;5886.9;230.5;23641;969;400245;160;190;19.4;459;44;66.7;911;133.4;167;279;383;338;13.3;26.7;55.1;13.3;1183;7363
T2-F7B1;7637.9;229.1;28617;1447;308050;131;166;12.7;373;53.6;48.4;1023;191;238;356;470;358;17.8;38.2;69.15;11.5;735;8331
T2-L9B1;15870.5;289.1;8410;2298;78687;224;151;28.9;746;392.9;78.8;1117;289.1;1063;1918;2196;371;26.3;56.5;428.75;46;2605;29558
T2-N8E23;5298.1;199.5;20214;1536;351872;163;153;16.2;432;51.4;44.9;783;124.7;146;287;683;317;2.5;23.7;54.65;13.7;4041;6922
T2-P9B2;6976.4;245.2;29032;1042;307251;138;186;17.2;650;206.3;53.9;1031;208.4;243;417;548;316;14.7;36.8;74.85;11;1561;8835
T2-L9B2;11759;341.9;18528;2250;84384;249;178;34.2;842;440.6;52.6;1135;328.8;1258;2051;1028;234;43.4;65.8;463.05;42.1;1397;33117
T2-N9B2;5452.5;225.2;35420;895;394620;156;178;16.6;404;50.2;45;837;142.2;174;296;491;270;16.6;28.4;48.35;13;781;6870
T2-F9B2;5949.7;239.8;24604;1147;331584;120;149;12;317;53.2;61.1;820;143.9;164;312;378;223;12;27.6;47.85;7.2;1591;8194
T2-9B1;19359.9;73.9;21099;2591;54849;309;542;36.9;1003;702;73.9;8746;652.4;800;1391;1646;1257;30.8;113.3;274.25;28.3;668;27260
T2-P9B1;6534.2;211.7;24696;983;268349;120;155;15.3;569;185.1;44.7;932;176.4;234;400;392;271;15.3;31.8;70.4;12.9;588;7303
