Метки Образцов;Масса навески (g);sample_mass;Разбавление;Valiq, ml;Al 308.215;Al 394.401;Al 396.152;Ca 315.887;Ca 317.933;Cd 214.439;Cd 228.802;Co 230.786;Co 231.160;Co 258.033;Cu 324.754;Cu 327.395;Fe 234.350;Fe 258.588;Mg 279.800;Mg 285.213;Mn 257.610;Mn 260.568;Mn 293.931;Mn 294.921;Ni 216.555;Ni 221.648;Ni 227.021;Ni 230.299;Ni 231.604;Pb 220.353;Pb 283.305;S 178.165;S 180.669;S 181.972;S 182.562;Sc 335.372;Sc 357.634;Sc 361.383;Si 250.690;Si 251.611;Si 252.411;Si 288.158;Zn 202.548;Zn 206.200;Zn 213.857;Zn 472.215
T2-6B1;100.5;;;;19.36;19.65;19.4;35.72;35.7;0.0082;0.047;0.0517;0.0604;0.0696;0.81;0.8218;812;834.6;10.74;10.94;0.3708;0.3777;0.3787;0.3787;1.315;1.265;1.223;1.258;1.261;0.0639;1.637;130.0666667;143.4;125.1;121.7;0.9619;0.9575;0.9618;14.22;14.57;14.8;14.78;0.073;0.0591;0.06605;0.06605
T2-6B2;94.5;;;;20.02;20.32;20.08;37.7;37.56;0.008;0.0462;0.0548;0.0676;0.0728;0.8223;0.8334;866.5;863;10.99;11.16;0.4008;0.4091;0.4095;0.4095;1.37;1.319;1.276;1.3;1.313;0.0696;1.676;136.0666667;150.9;130.6;126.7;0.8958;0.8889;0.8901;10.88;11.17;11.34;11.24;0.0607;0.046;0.05335;0.05335
T2-L6B1;100.6;;;;9.943;10.01;10.12;56.5;56.15;0.0027;0.0106;0.0404;0.0388;0.0405;0.3959;0.3904;190.2;193.4;7.294;7.256;0.282;0.2859;0.2869;0.2869;0.8748;0.8684;0.8424;0.8669;0.8662;0.0455;0.3958;402.0333333;432.7;389.4;384;0.9809;0.9834;0.9947;10.7;11.01;11.14;11.14;0.0372;0.0331;0.03515;0.03515
T2-L6B2;142.8;;;;7.079;6.724;7.015;45.4;44.87;0.0014;0.0069;0.0347;0.0352;0.0318;0.2885;0.2877;133.7;145;5.204;4.516;0.2065;0.2142;0.212;0.212;0.7368;0.7612;0.7021;0.7593;0.7634;0.0515;0.258;345.3666667;371.3;338.2;326.6;1.247;1.17;1.179;2.755;2.83;2.844;2.782;0.0394;0.0423;0.04085;0.04085
T2-F6B1;108.7;;;;9.101;8.966;9.074;373.1;381.2;0.0038;0.0156;0.0183;0.0203;0.0209;0.0477;0.0591;311.5;303.5;3.989;3.369;0.1411;0.1425;0.1444;0.1444;0.2963;0.2925;0.2665;0.2801;0.2685;0.0472;0.6029;473.4333333;516.4;458.6;445.3;0.8385;0.7974;0.8089;9.847;10.15;10.32;10.2;0.0513;0.0595;0.0554;0.0554
T2-F6B2;108.3;;;;7.469;7.449;7.545;318.1;323.5;0.0024;0.0127;0.0171;0.0177;0.0172;0.0492;0.0576;226.3;220.7;3.165;3.086;0.1211;0.1217;0.1237;0.1237;0.1893;0.1741;0.1678;0.1785;0.1714;0.0247;0.4519;346.9666667;382.9;332.5;325.5;0.9762;0.9647;0.9698;6.63;6.774;6.856;6.755;0.0283;0.0266;0.02745;0.02745
T2-P6B1;108.3;;;;7.337;7.381;7.469;315.5;320.1;0.0028;0.0141;0.034;0.0338;0.0347;0.2384;0.2432;237.4;244.2;4.774;4.886;0.1627;0.1651;0.1659;0.1659;0.9365;0.9292;0.8989;0.9255;0.9202;0.0205;0.4903;389.5666667;429.3;373.5;365.9;0.9516;0.9494;0.9534;10.77;11.07;11.2;11.17;0.0383;0.0349;0.0366;0.0366
T2-P6B2;102.5;;;;6.778;6.889;6.895;268.4;253.4;0.0034;0.0133;0.0354;0.038;0.0349;0.2245;0.2284;227;229.7;4.712;4.784;0.1577;0.1602;0.1607;0.1607;1.013;1.004;0.9717;0.9866;0.9926;0.0184;0.4658;350.5;388.3;335.3;327.9;0.9839;0.979;0.9828;7.733;7.94;7.985;7.925;0.0439;0.0406;0.04225;0.04225
T2-N6B1;104.1;;;;5.146;5.196;5.212;347.5;353.9;0.0023;0.0118;0.0158;0.0166;0.017;0.0304;0.0385;218.3;223;5.441;5.608;0.1707;0.1726;0.1726;0.1726;0.2067;0.1925;0.1826;0.1983;0.1885;0.0121;0.4251;310.3;348.7;294.9;287.3;0.9583;0.9579;0.9613;9.142;9.42;9.481;9.434;0.0277;0.026;0.02685;0.02685
T2-N6B2;95.5;;;;4.851;4.888;4.908;348;353.9;0.003;0.0127;0.0208;0.018;0.0181;0.0276;0.0364;230.6;234.7;4.56;4.701;0.1673;0.1693;0.1695;0.1695;0.1907;0.176;0.168;0.1847;0.1736;0.0155;0.4487;318.6333333;359.7;303.1;293.1;0.8806;0.8893;0.8887;9.59;9.859;9.923;9.904;0.0367;0.0352;0.03595;0.03595
T2-F6D22;102;22.488;;;8.537;8.408;8.535;347.3;354.6;0.0036;0.0112;0.0936;0.0963;0.0895;0.8286;0.8151;218.8;220.4;2.411;2.018;0.1055;0.1061;0.1084;0.1084;4.26;4.315;4.125;4.168;4.209;0.0308;0.397;472.9666667;523.1;455.5;440.3;0.9295;0.9181;0.9257;11.18;11.5;11.56;11.52;0.0867;0.0827;0.0847;0.0847
T2-F6D12;97.3;37.742;;;4.713;4.579;4.654;248.7;234.5;0.0023;0.0078;0.055;0.0551;0.0529;0.5355;0.5268;148.2;144;1.763;1.458;0.0819;0.0817;0.0815;0.0815;1.995;1.927;1.93;1.934;1.941;0.0196;0.2661;308.1;348.2;291.5;284.6;0.9788;0.9481;0.9534;7.348;7.473;7.537;7.346;0.0485;0.0472;0.04785;0.04785
T2-F6D11;101.6;35.63;;;4.372;4.205;4.291;227.9;205.9;0.0015;0.0079;0.0285;0.0299;0.0288;0.1659;0.1662;150.1;131;2.171;1.706;0.0684;0.0681;0.0775;0.0775;0.7504;0.7254;0.7286;0.6773;0.6725;0.0396;0.2599;286.3333333;328.5;260.2;270.3;0.9326;0.9594;0.9732;6.102;6.195;6.353;6.095;0.0394;0.0444;0.0419;0.0419
T2-F6D21;95.8;13.472;;;7.855;7.708;7.829;312.5;302.4;0.0029;0.0114;0.0795;0.0809;0.0751;0.5358;0.5341;214.9;215.5;2.634;2.202;0.1065;0.1063;0.1101;0.1101;2.278;2.283;2.2;2.23;2.225;0.0321;0.4035;404.8666667;453.1;389.5;372;0.9412;0.9173;0.9295;8.327;8.546;8.623;8.562;0.0682;0.0691;0.06865;0.06865
T2-N6A1;;;10;;0.0777;0.0897;0.0847;62.79;62.67;0.0002;0.0005;0.0008;0;0.0008;0.0025;0.0032;6.513;6.589;6.928;6.783;0.0082;0.008;0.0082;0.0082;0.0056;0.0051;0.0043;0.0045;0.0047;0;0.0074;79.71;92.19;74.84;72.1;1.042;1.031;1.038;0.1283;0.1324;0.1325;0.1272;0.0085;0.0091;0.0088;0.0088
T2-N6A2;;;10;;0.0466;0.0595;0.0504;54.79;54.66;0.0003;0.0012;0.0021;0.0002;0.0011;0.0006;0.0023;20.27;20.41;59.05;55.2;0.6639;0.6837;0.6695;0.6695;0.0044;0.0027;0.0024;0.0009;0.0025;0;0.0387;167.7666667;191.8;159.1;152.4;1.019;1.005;1.013;0.3395;0.3438;0.3515;0.3401;0.0073;0.0082;0.00775;0.00775
T2-6A1;;;10;;32.82;33.38;32.85;49.05;48.96;0.0134;0.0697;1.686;1.684;1.666;0.0112;0.0448;1345;1291;119.4;104;5.576;5.665;5.667;5.667;47.27;47.84;46.58;46.69;47.18;0.0491;2.276;1011.966667;1066;983.7;986.2;0.9399;0.9332;0.939;7.343;7.504;7.756;7.443;0.9118;0.9282;0.92;0.92
T2-6A2;;;10;;32.93;33.47;32.96;49.01;48.99;0.0135;0.0694;1.687;1.682;1.663;0.0088;0.0412;1337;1292;120.2;103.7;5.603;5.669;5.677;5.677;47.29;47.43;46.62;46.82;47.23;0.0474;2.28;1011.466667;1066;982.7;985.7;0.9437;0.9364;0.9422;7.332;7.469;7.81;7.42;0.9117;0.9268;0.91925;0.91925
T2-P6A1;;;10;;1.558;1.84;1.63;59.7;59.64;0.0352;0.2251;0.3313;0.3762;0.4675;0;0.0249;2995;2795;126.3;113.8;4.214;4.302;4.298;4.298;1.338;1.016;0.9808;0.9672;1.002;0.1353;7.136;2050.666667;1904;1994;2254;0.9228;0.9173;0.9244;7.585;7.659;9.021;7.576;0.3363;0.3101;0.3232;0.3232
T2-P6A2;;;10;;0.4606;0.8538;0.5211;62.9;62.89;0.0556;0.3452;0.3913;0.4404;0.6052;0;0.0114;3724;3137;129;119.7;4.558;4.677;4.639;4.639;1.174;0.6797;0.6563;0.6383;0.6643;0.1976;10.77;2633.333333;2239;2542;3119;0.8775;0.8701;0.8796;7.379;7.388;9.525;7.229;0.4084;0.3584;0.3834;0.3834
T2-L6A1;;;10;;255.9;262.9;240.6;66.43;66.59;0.1126;0.7963;1.303;1.333;1.794;9.348;9.704;4015;3720;170;163.3;7.45;7.499;7.519;7.519;38.35;37.72;36.82;36.82;37.44;0.57;21.46;6258.333333;3390;4835;10550;0.7501;0.7618;0.7619;7.706;7.234;12.3;7.173;1.058;0.8728;0.9654;0.9654
T2-L6A2;;;10;;226.2;232.1;212.7;82.49;82.7;0.099;0.6636;1.324;1.364;1.745;8.158;8.388;3966;3674;161.9;155.3;7.162;7.232;7.216;7.216;38.74;38.33;37.27;37.4;38.27;0.4773;19.34;5875.333333;3295;4641;9690;0.7668;0.7789;0.7801;10.25;10.05;13.81;9.901;1.025;0.8711;0.94805;0.94805
T2-F6A1;;;10;;2.142;2.321;2.218;56.27;56.1;0.0204;0.1294;0.1508;0.1877;0.2288;0;0.0019;2446;2371;80.04;76.1;2.61;2.678;2.656;2.656;1.625;1.444;1.387;1.386;1.428;0.0813;4.474;1427.666667;1458;1389;1436;0.9259;0.9288;0.9356;8.597;8.789;9.327;8.684;0.2204;0.2046;0.2125;0.2125
