Шифр;Масса навески (mg);V (ml);sample_mass;Среда;Аналиты;Кто готовил;;;;
T13_205_0_1_I;106.8;50;2.861;Разб. ЦВ в 10р;Мультиэлемент;"ЖАМ, Парвиз Вика";;;;
T13_310_0_1_F;104.4;50;1.064;Разб. ЦВ в 10р;Мультиэлемент;"ЖАМ, Парвиз Вика";;;;
T13_275_0_1_I;101.8;50;4.841;Разб. ЦВ в 10р;Мультиэлемент;"ЖАМ, Парвиз Вика";;;;
T13_110_0_1_F;108.8;50;2.568;Разб. ЦВ в 10р;Мультиэлемент;"ЖАМ, Парвиз Вика";;;;
T13_110_0_1_I;110.5;50;10.769;Разб. ЦВ в 10р;Мультиэлемент;"ЖАМ, Парвиз Вика";;;;
T13_275_0_1_С;107.5;50;20.534;Разб. ЦВ в 10р;Мультиэлемент;"ЖАМ, Парвиз Вика";;;;
T13_210_0_1_С;105.8;50;18.838;Разб. ЦВ в 10р;Мультиэлемент;"ЖАМ, Парвиз Вика";;;;
T13_305_0_1_C;109.8;50;12.978;Разб. ЦВ в 10р;Мультиэлемент;"ЖАМ, Парвиз Вика";;;;
T13_110_0_1_С;108.6;50;45.509;Разб. ЦВ в 10р;Мультиэлемент;"ЖАМ, Парвиз Вика";;;;
T13_175_0_1_С;108.5;50;40.589;Разб. ЦВ в 10р;Мультиэлемент;"ЖАМ, Парвиз Вика";;;;
T13_175_0_1_I;108.1;50;11.678;Разб. ЦВ в 10р;Мультиэлемент;"ЖАМ, Парвиз Вика";;;;
T13_105_0_1_C;117.4;50;35.189;Разб. ЦВ в 10р;Мультиэлемент;"ЖАМ, Парвиз Вика";;;;
T13_210_0_1_I;105;50;3.097;Разб. ЦВ в 10р;Мультиэлемент;"ЖАМ, Парвиз Вика";;;;
T13_105_0_1_I;107.8;50;14.383;Разб. ЦВ в 10р;Мультиэлемент;"ЖАМ, Парвиз Вика";;;;
