Шифр;Разбавление;Среда;Аналиты;Кто готовил;;;
Т13_115;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
Т13_215;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
Т13_315;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
Т13_120;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
Т13_220;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
Т13_320;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
Т13_205;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
Т13_305;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
Т13_210;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
Т13_310;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
Т13_175;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
Т13_275;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
Т13_375;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
Т13_205_1;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
Т13_305_1_1;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
Т13_110_0_1;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
Т13_210_0_1;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
Т13_175_0_1;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
Т13_275_0_1;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
Т13_375_0_1;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
K-F-1-1000;в 1000 раз;HNO3 5%;Мультиэлемент;FLS;;;
K-F-1-100;в 100 раз;HNO3 5%;Мультиэлемент;FLS;;;
K-F-1-10;в 10 раз;HNO3 5%;Мультиэлемент;FLS;;;
;;;;;;;
PF_F_1_10;в 10 раз;HNO3 5%;Мультиэлемент;FLS;;;
PF_F_1_100;в 100 раз;HNO3 5%;Мультиэлемент;FLS;;;
PF_F_1_1000;в 1000 раз;HNO3 5%;Мультиэлемент;FLS;;;
PF_F_2_10;в 10 раз;HNO3 5%;Мультиэлемент;FLS;;;
PF_F_2_100;в 100 раз;HNO3 5%;Мультиэлемент;FLS;;;
PF_F_2_1000;в 1000 раз;HNO3 5%;Мультиэлемент;FLS;;;
Т13-115-0-1;10;HNO3 5%;Мультиэлемент;ZVS;;;
Т13-120-0-1;10;HNO3 5%;Мультиэлемент;ZVS;;;
AV11-110;10;HNO3 5%;Мультиэлемент;ZVS;;;
AV11-110-1;10;HNO3 5%;Мультиэлемент;ZVS;;;
АОВ 1.1-1;10;HNO3 5%;Мультиэлемент;ZVS;;;
0.1;10;HNO3 5%;Мультиэлемент;ZVS;;;
;;;;;;;
AV-1-102;10;HNO3 5%;Мультиэлемент;ZVS;;;
NV-AVI;10;HNO3 5%;Мультиэлемент;ZVS;;;
