name;sample_mass;V (ml)
T2-6C1;188.69;149.29
T2-6C2;182.44;149.36
T2-7C1;186.38;149.44
T2-7C2;188.45;149.64
T2-8C1;194.61;149.75
T2-8C2;193.22;149.71
T2-9C1;194.49;149.44
T2-9C2;195.80;149.53
T2-10C1;192.89;149.61
T2-10C2;195.07;149.62
T2-11C1;193.12;149.35
T2-11C2;192.76;149.24
T2-12C1;190.77;149.46
T2-12C2;191.67;149.11
T2-L6C1;297.25;208.29
T2-L6C2;272.6;198.36
T2-L7C1;289.42;205.44
T2-L7C2;295.17;207.64
T2-L8C1;319.73;217.75
T2-L8C2;314.66;215.71
T2-L9C1;321.45;218.44
T2-L9C2;324.6;219.53
T2-L10C1;312.49;214.61
T2-L10C2;320.19;217.62
T2-L11C1;320.08;218.35
T2-L11C2;314.2;215.24
T2-L12C1;304.85;211.46
T2-L12C2;309.43;213.11
T2-L6P6C1;575.24;477
T2-L6P6C2;475.48;450
T2-L7P7C1;529.07;420
T2-L7P7C2;528.31;415
T2-L8P8C1;592.12;460
T2-L8P8C2;579.67;510
T2-L9P9C1;577.99;470
T2-L9P9C2;599.29;450
T2-L10P10C1;533.40;440
T2-L10P10C2;559.67;435
T2-L11P11C1;537.7;444
T2-L11P11C2;510.22;459
T2-L6P6F6C1;397.05;375.5
T2-L6P6F6C2;404.12;382.98
T2-L7P7F7C1;470.12;412
T2-L7P7F7C2;478.98;414
T2-L8P8F8C1;510.32;420
T2-L8P8F8C2;471.36;410
T2-L9P9F9C1;459.2;450
T2-L9P9F9C2;450.82;390
T2-L10P10F10C1;488.55;416
T2-L10P10F10C2;503.49;395
T2-L11P11F11C1;476.65;417
T2-L11P11F11C2;493.3;430
