name;Ca 315.887;Ca 317.933;Co 230.786;Co 231.160;Co 237.863;Co 258.033;Cu 324.754;Cu 327.395;Fe 234.350;Fe 239.563;Fe 258.588;Ni 216.555;Ni 221.648;Ni 227.021;Ni 230.299;Sc 335.372;Sc 357.634;Sc 361.383;Масса навески (g);sample_mass;Разбавление
T2-1A1;9.093;9.143;0.3197;0.3123;0.303;0.3107;0.0208;0.0284;227.3;226;218.5;9.099;8.859;9.029;8.85;1.183;1.178;1.164;;;50
T2-1B1;20.65;20.17;0.0652;0.0799;0.0748;0.0862;0.7088;0.7358;1015 x;827.2 x;980.8 x;1.735;1.738;1.724;1.68;0.9774;0.9775;0.9716;0.1072;;
T2-2A1;8.911;8.957;0.3208;0.3133;0.3042;0.3114;0.0553;0.0635;238.5;240.1;228.9;9.177;8.949;9.083;8.965;1.167;1.167;1.15;;;50
T2-2A2;9.375;9.42;0.3385;0.3332;0.3196;0.3292;0.0163;0.0241;243.8;242.9;232.1;9.689;9.441;9.606;9.48;1.102;1.099;1.085;;;50
T2-2B1;12.64;12.59;0.0457;0.0571;;;0.6829;0.6928;929.1;;;1.205;1.157;1.129;1.133;1.014;1.037;1.046;0.0994;;
T2-3A1;11.11;11.15;0.3201;0.312;0.3022;0.3082;0.0065;0.0141;231.2;230.2;222.4;9.052;8.802;8.957;8.859;1.133;1.135;1.119;;;50
T2-3B1;31.41;32.08;0.0581;0.067;;;0.7432;0.7864;778.1;776.3;;1.432;1.344;1.384;1.374;1.016;0.9952;0.9893;0.1004;;
T2-5A1;39.29;38.78;1.359;1.386;;;0.0434;0.0754;1099 x;;;41.83 x;42.39 x;41.40 x;41.56 x;1.023;1.059;1.067;;;10
T2-5B1;59.11;59.94;0.0712;0.0802;;;0.9141;0.9501;747.8;746.7;;1.611;1.539;1.572;1.558;1.009;1.001;0.9933;0.1012;;
T2-F2A11;42.84;43.09;0.0407;0.0552;0.0597;0.0664;-0.0008 uv;0.0111;908.5 x;813.0 x;956.8 x;1.886;1.769;1.793;1.784;1.249;1.25;1.233;;;10
T2-F2A12;41.32;41.49;0.0397;0.0528;0.0554;0.0638;-0.0009 uv;0.0109;871.0 x;776.5 x;922.1 x;1.817;1.702;1.728;1.716;1.278;1.278;1.259;;;10
T2-F2A21;41.61;41.72;0.0672;0.0871;0.0919;0.1048;-0.0015 uv;0.0113;1107 x;945.9 x;1203 x;2.767;2.609;2.639;2.633;1.24;1.244;1.227;;;10
T2-F2A22;42.12;42.36;0.0687;0.09;0.0962;0.1065;-0.0014 uv;0.0113;1127 x;956.8 x;1218 x;2.814;2.649;2.685;2.676;1.234;1.236;1.22;;;10
T2-F5A1;57.48;56.97;0.4678;0.517;;;0.4293;0.5089;2767 ox;;;11.48;11.53;11.2;11.28;0.9586;0.9855;0.9961;;;10
