name;Объем суспензии Ca(OH)2;Массовая доля Ca(OH)2
T2-L10P10C1;220;0.2
T2-L10P10C2;235;0.2
T2-L11P11C1;210;0.2
T2-L11P11C2;195;0.2
T2-L12P12C1;220;0.2
T2-L12P12C2;220;0.2
T2-L13P13C1;200;0.2
T2-L13P13C2;200;0.2
T1-L19P19C1;110;0.2
T1-L19P19C2;100;0.2
T2-L2P2C1;125;0.2
T2-L2P2C2;125;0.2
E1-L21P21C1;90;0.2
E2-L25P25C1;140;0.2
E2-L25P25C2;150;0.2
T2-L5P5C1;165;0.2
T2-L6P6C1;255;0.179
T2-L6P6C2;200;0.178
T2-L7P7C1;215;0.176
T2-L7P7C2;215;0.176
T2-L8P8C1;260;0.17
T2-L8P8C2;260;0.17
T2-L9P9C1;260;0.2
T2-L9P9C2;270;0.2
