name;sample_mass;V (ml);Объем р-ра H2SO4 (ml);pH;Объем суспензии Ca(OH)2;Массовая доля Ca(OH)2;Масса железных окатышей (g);Масса твердого (g)
E2-26C1;97.74;74.937;35;;;;;34.20
E2-26C2;97.74;74.9;35;;;;;34.26
E2-27C1;181.81;139.52;64;;;;;63.44
E2-27C2;184.01;139.43;67;;;;;66.87
E2-L26C1;;;; 2.00   ;120;0.20;;
E2-L26C2;;;; 2.00   ;120;0.20;;
E2-L27C1;;;;2.2;235;0.22;;
E2-L27C2;;;;2.02;240;0.22;;
E2-P26C1;256.89;205;;3.86;;;4.3;
E2-P26C2;253.95;205;;3.96;;;4.6;
E2-P27C1;560.96;435;;4.40;;;7;
E2-P27C2;583.03;460;;4.01;;;7;
E2-F26C1;388;334;;;;;;
E2-F26C2;482;450;;;;;;
E2-F27C1;523.51;430;;;;;;
E2-F27C2;528.3;475;;;;;;
