Sample;Al;S;Cl;K;Ca;Mn;Fe;Co;Ni;Cu;Zn;Mo;Ru;Rh;Pd;Ag;Cd;Os;Ir;Pt;Au;Hg;Pb
1;мкг/л;мг/л;мг/л;мкг/л;мкг/л;мкг/л;мг/л;мкг/л;мкг/л;мкг/л;мкг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л
T2-W10D21;961;86;3615;183;15807;13;17;35;1111;822;16;451;161;345;446;457;670;19.9;10.5;94.1;16.1;84;1630
T2-W10D22;993;85;2996;249;15679;12;17;35;1144;835;15;460;166;353;468;452;669;30.2;11.2;102;16.7;79;1662
T2-N11E211;723;31;4385;191;44665;26;31;4;74;8;10;130;19;24;59;62;59;17.9;3.5;6.5;5.1;44;1189
T2-N11E212;610;26;317;115;37410;21;26;2;60;6;7;117;15;20;35;51;90;4.7;2.4;4.3;0.6;26;904
T2-F13D11;1386;49;2902;295;31465;14;25;10;554;203;13;334;82;119;167;223;279;7.5;7.4;33.9;4.9;70;1763
T2-F13D12;1308;45;1025;257;29118;13;24;10;510;188;15;312;75;110;98;191;236;7.5;6.8;31.6;3.3;45;1579
T2-N13E111;660;28;3636;115;39858;21;27;2;53;13;8;116;33;47;50;92;106;4.3;2.5;5.6;2.6;29;1002
T2-N13E112;580;25;1242;129;35675;19;24;2;39;9;7;652;15;18;33;62;163;3.4;2.4;4.4;0.7;29;829
T2-F11D11;1043;41;461;246;33347;11;20;4;153;179;5;243;70;125;130;175;159;3.4;7.1;34.6;2.7;24;1437
T2-F11D12;903;33;4549;211;27913;10;16;4;135;161;5;203;64;114;142;152;147;2.6;6.6;29;9.4;86;1274
T2-N10E121;613;25;2572;164;31645;16;19;2;77;59;6;122;29;48;59;85;85;1.5;3.5;11.2;4.2;35;862
T2-N10E122;634;28;782;178;42652;23;25;3;60;6;10;98;14;16;30;82;71;2.7;2.3;4.2;0.8;103;1032
T2-F12D21;962;46;3665;249;26257;12;17;13;355;218;10;264;73;143;224;261;380;13.8;7.4;43.6;13.4;195;1535
T2-F12D22;739;25;1776;174;22986;8;14;7;268;164;6;163;44;77;89;159;233;1.7;4.2;27.3;6;94;2028
T2-N12E211;577;24;2301;163;34968;21;21;3;52;54;38;92;12;17;32;63;55;1.5;2.1;4.1;0.7;66;1545
T2-N12E212;495;18;2542;147;29605;18;18;2;46;35;26;78;10;15;36;65;73;1.5;1.9;4;0.8;110;1130
T2-F13D21;1512;65;3004;278;32491;20;30;23;1065;296;11;457;108;160;210;257;327;9.3;9.9;42.2;6;42;2075
T2-F13D22;1565;66;3132;258;33415;19;31;24;1082;304;13;478;112;166;221;246;342;9.5;10.1;56.9;8.5;78;2171
T2-W10D11;909;107;4773;177;9440;16;14;38;1460;1084;15;573;204;450;645;460;772;27.7;14.5;167;18.2;164;1711
T2-W10D12;653;75;3334;124;6469;13;10;29;1141;856;10;395;155;346;448;355;602;24;11;121.8;13.3;135;781
T2-N10E211;626;29;4447;160;43141;25;24;3;56;6;9;106;15;18;35;65;69;2.7;2.5;4.2;1;75;845
T2-N10E212;611;29;125;166;43809;22;25;3;58;5;17;97;15;18;22;65;83;2.7;2.4;4;0.8;66;843
T2-F11D21;1174;47;3256;229;39840;17;26;8;296;198;11;254;65;112;155;164;174;8.8;7.2;35.2;3.5;71;1744
T2-F11D22;816;27;2693;157;26403;11;18;4;173;116;7;160;40;66;97;103;121;7.1;4.5;19.7;3.1;35;1156
T2-N12E111;643;24;2854;141;29757;16;19;3;92;44;8;124;23;35;58;85;76;5.5;3;9.2;2.4;49;931
T2-N12E112;592;25;4598;117;36680;23;24;3;53;6;6;103;15;19;40;68;57;2.9;2.4;4.3;2;54;942
T2-N11E111;707;32;3001;101;49000;23;28;3;74;5;8;134;16;18;37;53;99;2;2.6;4.9;1.5;50;1095
T2-N11E112;463;21;1418;72;33859;16;19;2;50;3;6;310;10;12;22;37;77;1;1.8;3.2;0.6;30;674
T2-N13E221;487;21;1532;82;32030;15;22;2;34;6;6;335;11;15;25;46;60;1;1.9;3.9;0.9;65;719
T2-N13E222;487;20;2639;74;30653;14;23;2;24;8;7;85;13;16;31;48;49;2.1;2.2;4.2;2;59;768
T2-F12D11;725;28;4343;123;30211;12;21;5;177;74;8;155;34;55;90;105;137;4.5;4.1;16.2;4.1;348;1099
T2-F12D12;871;32;3841;152;28829;10;19;7;303;156;8;211;50;85;121;144;191;6.8;5.4;26.8;5.7;278;1302
X1-Q14B2;25;50;4349;64;56568;3;1;1;9;1;4;21;1;2;10;34;69;0;0.1;0.2;0.2;30;45
X1-Q14B1;34;51;5145;64;60313;4;0;1;8;2;5;14;0;2;10;20;79;0;0.1;0.4;0.5;196;75
X1-Q14E1;26;57;4490;64;67838;2;1;1;9;4;10;19;1;2;9;19;60;0.1;0.1;0.1;0.2;111;104
X1-Q14E2;29;67;4553;112;87066;2;1;1;10;1;5;12;0;2;8;43;63;0;0.1;0.2;0.3;275;132
