Sample;Al;S;Cl;K;Ca;Mn;Fe;Co;Ni;Cu;Zn;Mo;Ru;Rh;Pd;Ag;Cd;Os;Ir;Pt;Au;Pb
1;мкг/л;мг/л;мг/л;мкг/л;мкг/л;мкг/л;мг/л;мкг/л;мкг/л;мкг/л;мкг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;мкг/л
E1-F23D11;12870;640;11660;3430;520050;149;300;782;41552;7671;905;14170;1224;2851;6331;8930;4610;84;284;1550;1025;50
E1-F23D12;12970;660;20950;3600;567580;170;310;836;42960;7138;873;13170;1383;3313;6612;9720;5180;84;309;1833;844;55
E1-F23D21;7900;700;23350;3630;462360;179;380;998;53707;8146;487;20870;2359;4096;7910;12330;6650;103;419;2052;801;56
E1-F23D22;6390;680;17460;3130;441760;165;360;835;52241;7702;465;25470;2144;3709;7548;10690;6030;97;393;2073;585;57
E2-23B2;19540;210;19070;2810;161900;957;1120;187;9954;1890;193;6570;659;1285;2977;3230;560;58;312;708;356;44
E2-23B1;21520;230;10770;3130;177310;982;1170;205;10741;1967;203;6440;675;1422;2762;3110;630;68;331;750;297;46
E2-F23B1;6200;320;22430;1280;536810;132;170;7;517;93;118;1190;94;158;475;500;100;35;83;118;203;14
E2-N23B1;6660;300;18720;1000;643960;336;360;5;408;67;133;920;82;141;328;400;470;29;72;98;193;10
E2-F23B2;4240;420;21630;1460;602200;147;130;6;252;73;95;860;57;184;503;320;200;32;76;125;190;17
E2-N23B2;6010;290;24250;630;649180;239;340;4;259;41;83;820;35;112;269;250;430;26;52;79;182;9
E2-N23C4;7640;410;15070;850;710440;512;470;4;310;47;87;750;44;155;347;290;650;26;78;101;135;12
E2-N23C3;6480;340;15920;900;622250;353;390;5;353;56;121;910;82;145;344;260;530;23;77;92;148;10
E2-F23C4;9750;470;15560;1250;548080;614;580;4;309;51;85;790;51;168;381;250;290;32;88;104;129;13
E2-F23C3;9310;480;9860;1180;570330;561;550;5;438;72;130;1090;113;188;388;240;280;23;104;112;109;14
E2-N23E21;5850;300;24230;330;633520;242;360;4;232;34;72;570;29;110;257;260;530;10;55;72;198;10
E2-N23E22;5790;290;19270;500;611540;230;340;3;215;32;63;600;35;107;216;240;500;6;53;64;164;9
E2-24B1;26120;230;7120;4210;225930;677.3;1490;256;11897;2246;231.6;9440;1601;2021;3280;4110;1110;90;297;923;197;60
E2-24B2;19800;150;16820;2270;155190;598;1290;234;9782;1568;200;7630;1480;1927;3202;3500;850;87;277;1033;209;55
E2-N23E11;5420;330;3900;730;673630;349;400;6;395;56;138;2150;85;139;288;370;670;13;77;83;102;10
E2-N23E12;7010;330;22770;480;718680;355;410;5;386;57;109;1010;82;145;344;380;630;10;76;91;180;11
E2-24C4;55600;460;12300;6070;313460;2703;2210;378;20316;4388;230;14540;1501;2930;5844;6440;1670;93;794;1760;315;105
E2-24C3;39250;370;20910;4440;383790;1249;2550;465;19310;3846;326;16870;3380;4298;7916;7600;1900;200;712;2028;349;130
E2-P23B2;39370;370;24140;6200;391540;1358;2350;433.1;19080;3546;347.1;21160;3318;4256;8312;8520;2040;202;737;2161;382;159
E2-F25B1;6730;390;19720;1150;629950;153;210;8;314;77;80;1370;116;225;472;540;240;26;105;123;149;14
T1-F18D22;5190;240;8100;430;144510;65;170;406.8;14011;2919;158.6;4390;997;1533;2881;2930;5350;58;84;1189;595;28
T2-F18D11;10040;690;22270;1430;347800;189.7;370;829.9;34057;8688;800;21110;3440;5554;10640;9060;15610;159;275;2586;495;64
T2-F18D12;10260;720;24100;1500;349010;212.4;390;838.3;34747;8689;797.2;11650;3418;5719;10240;8810;16450;154;271;2637;480;67
T2-N18Y11;860;230;21800;120;537030;475.3;750;30.2;479;17;122.9;990;19;33;136;370;570;7;2;15;96;3
T1-18B2;12910;70;15540;2410;67300;376.3;930;38.5;1555;499;81.2;3380;922;1191;2195;2290;250;49;161;502;137;36
T1-18B1;11220;60;4000;2070;54260;323.9;870;34.6;1385;465;52.5;2990;851;1099;1843;2080;220;42;146;469;66;32
T1-F18D21;9460;650;27420;1360;352090;159.6;410;842.6;34333;6334;403.4;11510;2593;3928;8378;8930;14370;124;216;2083;346;74
E1-21B1;19810;150;20270;3240;191650;588.5;1280;221;9848;1644;186.7;8500;1349;1737;3176;3230;730;71;256;795;208;54
E1-21B2;24750;160;29200;3290;164510;691.6;1660;287;12770;1866;257.9;18240;2016;2482;4542;4500;950;110;385;1001;251;81
E1-F21D11;11880;600;28050;3600;528790;136.6;270;601.3;34977;10019;82.6;15440;2624;4757;10450;11070;7730;107;282;3807;386;37
E1-F21D12;12380;620;32190;3550;551760;126.1;300;632.6;36966;10688;95.6;16120;2807;5099;10960;11990;8060;117;297;3379;541;38
E1-F21D21;12270;500;35630;3210;540440;109;290;614.6;31747;7093;134.7;13330;2087;4328;8363;10380;7440;96;232;2047;361;56
E1-F21D22;11510;480;33450;2880;500990;107.7;280;588.5;30299;6779;73.7;12490;1945;4072;7589;9410;7190;89;222;2568;345;52
E2-F25D2;11020;670;13750;4060;425600;170.9;540;869.4;46253;8651;554.3;18640;1454;3601;7390;16850;8000;56;304;2190;378;83
E2-F25D1;10190;810;13810;4280;450330;187.5;350;1067;55713;10574;122.9;22440;1620;3947;8143;12940;8180;68;348;2813;408;64
E2-L24B1;8570;580;13510;2330;226920;519.8;410;187.7;10877;1607;78.4;4470;346;1305;2704;3770;610;25;104;1908;176;51
E2-25C3;32590;350;3210;6020;267030;1717;1740;299.6;17103;3192;180;12780;1059;2125;4603;5150;1250;63;580;1172;221;84
E2-25C4;40580;440;20960;7340;362200;2270;2250;395.8;22494;4191;232.2;18520;1471;3009;6707;8590;1850;90;866;1839;513;127
P1-F22C1;51450;140;21890;7710;46220;1879;1570;41.5;2108;1535;251.8;6130;1540;1819;6132;4860;670;90;312;1082;237;108
E2-23C32;58980;690;18840;11480;590000;4626;3880;682.7;37575;7040;353.2;34930;2829;5714;12450;13260;3370;232;1922;3930;717;276
E2-23C42;61360;700;17330;12480;595600;4610;3860;694.1;37782;7098;357.6;34310;2821;5765;12320;13050;3320;216;1891;3797;798;274
E2-N25E1;5430;340;12070;670;752530;303.1;400;8.1;443;50;64.2;1040;79;138;318;340;630;7;59;61;64;9
E2-N25E2;5820;360;22560;840;794290;330.8;430;3.8;284;48;43.3;7480;89;138;339;220;560;9;68;68;59;9
P1-F22B1;45910;40;10980;6870;37000;914.1;1290;38.3;1872;1425;132.1;5420;1375;1595;5550;4140;570;71;265;985;147;81
E2-23C31;61680;710;19580;12100;596920;4609;3840;668.8;36885;6971;358.4;33830;2782;5685;12380;12830;3410;198;1856;3820;742;270
E2-23C41;59730;720;25030;11270;600330;4614;3780;664.8;36690;6970;348;34230;2811;5690;12850;12960;3450;224;1880;4540;731;271
T1-F20D1;2240;1820;23670;600;4970;30.2;370;91.7;1602;3348;46.8;3210;477;1562;4502;2980;260;47;89;1127;200;10
E1-N21E11;4750;320;26010;670;681540;189.4;400;34.4;954;74;59.5;1380;167;169;324;430;600;6;39;69;158;10
E1-N21E12;5290;360;5910;840;754180;210.9;440;37.8;1062;78;64.1;1450;179;183;152;450;690;6;41;71;44;11
E2-N25B1;5840;360;17020;1200;789560;336.1;430;8.4;462;54;81.4;1040;82;146;363;870;720;6;65;69;46;10
E2-N25B2;5780;340;18020;1520;718020;327.5;410;3.5;254;45;33;1010;81;132;326;190;600;6;63;57;40;8
E2-25B1;24290;230;20300;3900;181430;963.4;1220;207.2;11816;2215;134.6;8870;729;1477;3246;3680;1550;41;362;761;156;54
E2-25B2;24230;230;22470;3770;181320;894;1240;211;12046;2229;129.9;9050;743;1468;3407;3730;890;41;380;899;177;56
E2-F25Z1;7140;680;620;340;50400;1415.4;1820;26.2;2154;26;229;940;80;14;96;120;260;20;28;6;12;2
E2-F25Z2;480;500;560;300;49920;1244.4;1380;3;1200;14;63.8;560;28;6;64;80;60;6;2;6;14;2
E2-L25A1;142975;9275;250;22625;6425;8592.5;7525;514.75;27292.5;7935;782;52625;4357.5;1447.5;3312.5;725;3175;982.5;3537.5;137.5;50;85
E2-L25A2;141925;8825;200;21100;6825;8247.5;6925;483.75;25715;7805;748.5;53200;4327.5;1497.5;3460;775;3275;977.5;3455;167.5;42.5;87.5
E2-F25A1;15360;1020;240;800;51580;2238;2480;32.6;2010;22;331;1240;114;22;84;60;600;24;46;14;16;8
E2-F25A2;2420;880;220;920;51520;2286;2240;1.8;314;12;69.2;500;32;18;60;60;80;10;6;8;14;2
