name;sample_mass;V (ml);pH;Eh;Объем р-ра H2SO4 (ml);Объем суспензии Ca(OH)2;Массовая доля Ca(OH)2;Масса железных окатышей (g);Объем суспензии CaCO3;Массовая доля CaCO3
Т1-16С1;92.39;74.784;2.63;;;;;;;
Т1-16С2;93.5;75.017;2.63;;;;;;;
T1-17C1;92.31;74.737;2.63;;;;;;;
T1-17C2;92.87;74.857;2.63;;;;;;;
T1-18C1;88.95;74.857;2.63;;;;;;;
T1-18C2;89.6;74.917;2.63;;;;;;;
T1-19C1;89.74;74.92;2.63;;;;;;;
T1-19C2;89.45;74.893;2.63;;;;;;;
X1-L14C1;125.12;217.69;;;68;;;;;
X1-L14C2;125.12;217.64;;;68;;;;;
M1-L15C1;126.462;218;;;68;;;;;
M1-L15C2;126.462;218;;;68;;;;;
Т1-L16С1;143.91;102.784;;;28;;;;;
Т1-L16С2;145.02;103.017;;;28;;;;;
T1-L17C1;141.99;101.737;;;27;;;;;
T1-L17C2;142.55;101.857;;;27;;;;;
T1-L18C1;129.43;96.857;;;22;;;;;
T1-L18C2;130.08;96.917;;;22;;;;;
T1-L19C1;132.06;97.92;;;23;;;;;
T1-L19C2;131.77;97.893;;;23;;;;;
X1-P14C1;183.4873469;477.69;0.55;;;260;0.2;;;
X1-P14C2;183.4873469;477.64;0.65;;;260;0.2;;;
M1-P15C1;193.8089388;518;1.28;;;300;0.2;4;;
M1-P15C2;193.8089388;518;1.25;;;300;0.2;4;;
Т1-P16С1;;;;;;;;;;
Т1-P16С2;;;;;;;;;;
T1-P17C1;164.4389796;201.737;2;;;100;0.2;5;;
T1-P17C2;164.9989796;201.857;2;;;100;0.2;5;;
T1-P18C1;151.8789796;196.857;2;;;100;0.2;4;;
T1-P18C2;152.5289796;196.917;2;;;100;0.2;4;;
T1-P19C1;156.7538776;207.92;2;;;110;0.2;4;;
T1-P19C2;154.2189796;197.893;;;;100;0.2;4;;
T1-F18C1;;;4.71;;;;;;;
T1-F18C2;;;4.69;;;;;;;
T1-F19C1;;;4.61;;;;;;;
T1-F19C2;;;4.37;;;;;;;
N1-N18C1;;;11.7;;;22;0.2;;9;0.2
N1-N18C2;;;;;;;;;;0.2
T1-N19C1;;;10.5;;;45;0.2;;25;0.2
T1-N19C2;;;9.05;;;45;0.2;;25;0.2
