name;Масса навески (g);Al_AES;Ca_AES;Cd_AES;Co_AES;Cu_AES;Fe_AES;Mg_AES;Mn_AES;Ni_AES;Pb_AES;S_AES;Si_AES;Zn_AES
T2-L3B1;0.097;6.642095053;29.14161009;0.001842871;0.030213385;0.230019399;161.299709;5.282735209;0.181474297;0.64500485;0.178079534;372.6479146;7.098286453;0.257937278
T2-L3B2;0.1138;8.925438596;44.2202729;0.001998051;0.03874269;0.333528265;210.7212476;6.874269006;0.247758285;0.810867446;0.231920078;505.8479532;9.893437297;0.145386615
T2-L4B1;0.1024;9.15009557;51.31115657;0.001358103;0.043459307;0.398980584;215.5360317;6.911740049;0.260252842;0.902610576;0.245816706;524.1272928;9.775326112;0.096911572
T2-L4B2;0.1292;12.55032468;57.26785714;0.001899351;0.048116883;0.472256494;223.9772727;7.479058442;0.28987013;1.032954545;0.26887987;570.487013;3.697077922;0.096850649
T2-L5B1;0.1127;11.99;33.865;0.0045;0.04055;0.5067;184.1;8.735;0.3359;1.058666667;0.23635;594.1;8.394;15.94
T2-L5B2;0.1085;10.93955322;61.0151117;0.001379763;0.044398817;0.468676084;144.1360053;7.990308804;0.304336399;0.954229632;0.19163929;609.5597898;5.964848883;0.092378449
T2-L6B1;0.1006;10.02433333;56.325;0.004966667;0.036366667;0.39315;191.8;7.275;0.284933333;0.859233333;0.22065;402.0333333;10.95;0.03515
T2-L6B2;0.1428;6.939333333;45.135;0.003866667;0.032;0.2881;139.35;4.86;0.2109;0.740866667;0.15475;345.3666667;2.809666667;0.04085
T2-L7B1;0.1164;12.87311483;67.04050712;0.003186932;0.046846157;0.482532827;210.4419909;8.23482289;0.31468775;0.999191947;0.234370102;434.1541569;10.9923026;0.073612901
T2-L7B2;0.1116;11.37775947;61.31424452;0.002626429;0.04507845;0.450509836;211.8652796;7.523946853;0.290761149;0.974147698;0.229786796;417.4477289;1.319909362;0.064785251
T2-L8B1;0.102;10.49808169;64.53162666;0.002852001;0.039928021;0.431416155;178.5047364;7.251213798;0.269989475;0.835779038;0.197806675;391.8955624;8.690965267;0.081689471
T2-L8B2;0.1266;12.78613584;82.59134173;0.003684372;0.050216627;0.527376932;221.164671;8.695629925;0.343908846;1.068058541;0.243373247;481.7316549;8.574352676;0.082233139
T2-L9B1;0.0944;13.83429802;53.52671961;0.002624849;0.035233544;0.374343788;194.0873603;6.692354287;0.254812222;0.763326154;0.217963387;367.0244986;5.406683268;0.084298021
T2-L9B2;0.1149;10.6667;58.9;0.0033;0.0419;0.4207;221.8;7.4475;0.2869;0.8984;226.2262;438.2333;6.854;0.0602
T2-L10B1;0.104;7.7047;50.58;0.0027;0.033;0.328;178.6;6.1545;0.2545;0.6891;0.2041;356.3667;10.2633;0.074
T2-L10B2;0.1085;10.8667;65.98;0.0018;0.0418;0.4665;202;7.703;0.3146;0.9024;0.2383;448.9667;6.172;0.0605
T2-L11B1;0.1177;9.098;52.61;0.0022;0.0423;0.3788;233.5;7.3245;0.3071;0.8975;0.2663;489.2333;7.7333;0.069
T2-L11B2;0.1039;10.34;57.83;0.0021;0.0427;0.4384;223.55;7.9845;0.3343;0.8922;0.2502;437.2;8.5587;0.0957
