name;Масса навески (g);Al_AES;Ca_AES;Cd_AES;Co_AES;Cu_AES;Fe_AES;Mg_AES;Mn_AES;Ni_AES;Pb_AES;S_AES;Si_AES;Zn_AES
T2-3B1;0.1004;17.89701716;31.73971005;0.004049325;0.062489585;0.764672555;777.0704883;9.792867855;0.355840693;1.383269455;0.819763373;152.3746042;3.574404266;0.15304116
T2-3B2;0.1004;17.89701716;31.73971005;0.004049325;0.062489585;0.764672555;777.0704883;9.792867855;0.355840693;1.383269455;0.819763373;152.3746042;3.574404266;0.15304116
T2-4B1;0.1055;23.00271172;52.36754276;0.00458907;0.072329996;0.96688569;1072.225699;13.36566542;0.506883605;1.584793492;0.999530663;200.563204;13.4751773;0.11643026
T2-4B2;0.1055;23.00271172;52.36754276;0.00458907;0.072329996;0.96688569;1072.225699;13.36566542;0.506883605;1.584793492;0.999530663;200.563204;13.4751773;0.11643026
T2-5B1;0.1012;18.74438118;59.45959445;0.003346319;0.075966437;0.931075817;746.4289282;11.47737489;0.464389172;1.568274898;0.766456897;196.3839776;10.26204508;0.169779909
T2-5B2;0.1012;18.74438118;59.45959445;0.003346319;0.075966437;0.931075817;746.4289282;11.47737489;0.464389172;1.568274898;0.766456897;196.3839776;10.26204508;0.169779909
T2-6B1;0.1005;19.47;35.71;0.018733333;0.054033333;0.8159;823.3;10.84;0.375733333;1.248666667;0.85045;130.0666667;14.53;0.06605
T2-6B2;0.0945;20.14;37.63;0.018433333;0.059266667;0.82785;864.75;11.075;0.406466667;1.298333333;0.8728;136.0666667;11.13;0.05335
T2-7B1;0.0988;19.4833;44.25;0.0036;0.0639;0.8025;728.05;10.275;0.3854;1.2757;56.6575;110.5;6.8597;0.1153
T2-7B2;0.1017;21.42358688;47.93614794;0.004030007;0.066817865;0.842899512;823.9009072;10.51360782;0.442079553;1.387369156;0.805373343;127.2069086;8.02337753;0.083478716
T2-8B1;0.1017;21.52385925;37.48102445;0.01914307;0.06973917;0.903214251;929.6482731;12.4291735;0.748383445;1.432620331;0.067847322;133.8287155;14.85488376;0.104378784
T2-8B2;0.1017;20.77235322;38.69071005;0.018802422;0.065055743;0.848367249;916.5941;10.45504409;0.719687566;1.316874304;0.068659275;135.7810414;8.486074852;0.105348772
T2-9B1;0.0955;19.29512759;41.87485329;0.003822809;0.061433218;0.748817947;762.14748;9.944837531;0.387076221;1.253479092;0.774621911;117.953791;8.316371014;0.087874317
T2-9B2;0.1037;21.76289716;47.09087803;0.004355996;0.071301674;0.873556543;906.0983943;11.89955586;0.446498121;1.469559276;0.894362829;136.5989067;12.47352238;0.07405193
T2-10B1;0.0983;18.7;74.21;0.0043;0.0663;0.8347;707.3;11.47;0.5701;1.3643;0.7654;150.9667;9.555;0.1202
T2-10B2;0.1;19.5033;56.77;0.0036;0.0652;0.8267;784.3;11.7;0.5746;1.323;0.7796;140.5;10.8667;0.1033
T2-11B1;0.1003;21.9333;26.735;0.0043;0.0684;0.7273;955.05;13.71;0.5519;1.4427;0.905;106.29;8.7467;0.1152
T2-11B2;0.0989;20.9267;23.03;0.0039;0.0697;0.6867;942.1;13.145;0.5501;1.4507;0.8383;122;9.5657;0.1182
T2-12B1;0.1301;28.36;35.315;0.0052;0.0864;0.9153;1303.5;16.77;0.709;1.748;1.1665;104.8667;6.4763;0.123
T2-12B2;0.0965;18.87;47.115;0.0035;0.066;0.7237;808;10.84;0.554;1.267;0.7749;103.8667;9.6403;0.0871
T2-13B1;0.0983;20.3167;48.2;0.0037;0.0799;0.9301;712.95;14.355;0.6855;1.5907;0.7539;157.75;8.679;0.1011
T2-13B2;0.0958;22.3967;65.345;0.0034;0.1094;1.35;559.15;17.825;0.8828;2.2503;0.5982;204.65;10.3867;0.1415
T2-16B1;0.1973;36.42757173;107.3827852;0.0066655;0.132435269;1.134053534;1744.576627;22.51574528;1.139511896;2.682155353;1.592844647;280.4758572;11.21326102;0.110374388
T2-16B2;0.1745;32.065915;121.4570685;0.006608846;0.128846487;1.146660885;1621.509107;20.50303556;1.084917606;2.60378144;1.442393755;271.1188205;8.942237641;0.110164788
T2-17B1;0.1915;34.27891847;105.460142;0.005876386;0.125327923;1.073594739;1692.609045;21.6219525;1.074040715;2.547623212;1.424656336;268.949596;7.81952849;0.100160901
T2-17B2;0.1951;35.37634786;84.50704225;0.006216852;0.12865723;1.044879;1858.206596;21.65888097;1.040374416;2.532893119;1.583453338;244.5646447;6.594078185;0.109637877
T2-18B1;0.0995;16.46357189;58.59284333;0.002804642;0.063636364;0.426015474;758.8491296;11.33945841;0.417891683;1.197678917;0.064023211;117.2147002;4.036025145;0.049129594
T2-18B2;0.1085;18.2635508;71.89386563;0.002872444;0.069360597;0.472281727;813.8753651;12.77507303;0.489224278;1.337682571;0.068938656;133.3982473;9.375365141;0.079357352
T2-19B1;0.1977;35.2967;152.25;0.0072;0.1343;0.9867;1788.5;23.63;0.8942;2.742;2.1494;0;9.671;0.1394
T2-19B2;0.1871;36.1867;189.7;0.0059;0.1425;1.3393;1562.5;23.885;1.0068;2.923;1.8758;0;5.5373;0.1313
T2-21B1;0.1909;0;260.6;0;0.398;0;1621;21.82;0;11.33;0;0;0;0
T2-21B2;0.2513;0;264.8968403;0;0.603772904;0;2513.706536;29.14081662;0;17.48448997;0;0;0;0
T2-23B1;0.1876;52.8449955;366.7965238;0.014552742;0.538994606;2.97759964;1801.955349;48.74887624;1.879682349;20.58285886;3.135694486;680.8323344;0;0.376601364
T2-23B2;0.1912;61.90447973;396.3024413;0.018428538;0.632693371;3.554554792;2155.724105;58.44986964;2.293592478;24.22611993;3.797878644;761.7918938;0;0.461246741
T2-24B1;0.2352;45.50876835;324.3270799;0.01141925;0.593699021;2.637982599;1735.827896;27.15640294;1.129690049;17.06158238;2.689233279;465.4873573;3.355424144;0.370207993
T2-24B2;0.1974;53.69713661;346.9460897;0.011317765;0.572754367;3.364017052;1903.648093;47.78926321;2.095295582;21.19138341;2.733013921;620.7228279;16.34285283;0.374278492
T2-25B1;0.202;54.3;318.05;0.0175;0.5269;2.8973;1767.5;42.435;1.7717;20.86;3.3148;683.35;15.3;0.3006
T2-25B2;0.2067;61.925;351.75;0.0182;0.6036;3.3193;2000.5;44.92;1.879;24.28;3.8361;794.1;19.4333;0.3246
T2-26B1;0.2043;44.55989313;270.7436544;0.007959774;0.455544011;2.829337984;1432.759388;34.00994508;1.630918807;15.93624759;2.033805848;0;15.42229479;0.221482114
T2-26B2;0.2101;60.21389933;368.1711195;0.011520832;0.606330264;3.909030846;1904.653756;46.64698352;2.226948012;21.421935;2.783643721;0;17.2523434;0.289135731
T2-27B1;0.2186;57.18080824;330.0796973;0.01171309;0.591390275;3.544115279;1896.433747;43.50144904;2.048381903;21.31903075;2.795081307;0;18.95829979;0.300012075
T2-27B2;0.2031;50.23823824;380.1201201;0.010690691;0.557297297;3.045645646;1730.930931;36.71471471;1.738138138;19.91591592;2.55045045;0;19.8038038;0.236696697
T2-28B1;0.217;4.067779961;28.68860511;0.001915521;0.047413229;0.325376555;150.3929273;2.635559921;0.165749836;1.682318271;0.148280943;0;0;0.026277014
